asset_id,filename,file_id,profile_name,image_path,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,attr_structure_material,attr_width,length_bin,width_bin,fall_height_bin
48117,AST_EX_20250818_114301.jpeg,86997,Boardwalk < 1.2m High,data/citywide/images/337/48117/86997__AST_EX_20250818_114301.jpeg,Timber,,No,No railings,120.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
46933,IMG_2182.JPG,59582,Boardwalk < 1.2m High,data/citywide/images/337/46933/59582__IMG_2182.JPG,Timber,,No,No railings,150.0,Timber,0.5,long (>100m),narrow (<0.9m),
47664,AST_EX_20250803_081025.jpeg,86079,Boardwalk < 1.2m High,data/citywide/images/337/47664/86079__AST_EX_20250803_081025.jpeg,Timber,,No,No railings,200.0,Timber,,long (>100m),,
46935,IMG_1070.JPG,59882,Boardwalk < 1.2m High,data/citywide/images/337/46935/59882__IMG_1070.JPG,Timber,,No,No railings,15.0,Timber,3.0,short (<20m),wide (>1.5m),
46615,AST_EX_20210725_102426.jpeg,7974,Boardwalk < 1.2m High,data/citywide/images/337/46615/7974__AST_EX_20210725_102426.jpeg,Timber,,No,No railings,2600.0,Timber,,long (>100m),,
46615,AST_EX_20210725_102345.jpeg,7975,Boardwalk < 1.2m High,data/citywide/images/337/46615/7975__AST_EX_20210725_102345.jpeg,Timber,,No,No railings,2600.0,Timber,,long (>100m),,
47664,AST_EX_20250803_081016.jpeg,86081,Boardwalk < 1.2m High,data/citywide/images/337/47664/86081__AST_EX_20250803_081016.jpeg,Timber,,No,No railings,200.0,Timber,,long (>100m),,
48119,MI_20210809_144926.jpg,13815,Boardwalk < 1.2m High,data/citywide/images/337/48119/13815__MI_20210809_144926.jpg,Timber,,No,No railings,8.0,Timber,1.5,short (<20m),wide (>1.5m),
47664,AST_EX_20250803_080930.jpeg,86084,Boardwalk < 1.2m High,data/citywide/images/337/47664/86084__AST_EX_20250803_080930.jpeg,Timber,,No,No railings,200.0,Timber,,long (>100m),,
48119,AST_EX_20250807_142035.jpeg,86267,Boardwalk < 1.2m High,data/citywide/images/337/48119/86267__AST_EX_20250807_142035.jpeg,Timber,,No,No railings,8.0,Timber,1.5,short (<20m),wide (>1.5m),
48119,AST_EX_20250807_142000.jpeg,86268,Boardwalk < 1.2m High,data/citywide/images/337/48119/86268__AST_EX_20250807_142000.jpeg,Timber,,No,No railings,8.0,Timber,1.5,short (<20m),wide (>1.5m),
48120,MI_20210809_122601.jpg,12529,Boardwalk < 1.2m High,data/citywide/images/337/48120/12529__MI_20210809_122601.jpg,Timber,,No,No railings,10.0,Timber,1.5,short (<20m),wide (>1.5m),
48121,AST_EX_20250808_133154.jpeg,86240,Boardwalk < 1.2m High,data/citywide/images/337/48121/86240__AST_EX_20250808_133154.jpeg,Timber,,No,No railings,6.0,Timber,,short (<20m),,
48637,AST_EX_20211013_101432.jpeg,27383,Boardwalk < 1.2m High,data/citywide/images/337/48637/27383__AST_EX_20211013_101432.jpeg,Timber,,No,No railings,18.0,Timber,,short (<20m),,
