image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/337/48117/86997__AST_EX_20250818_114301.jpeg,True,48117,337,Boardwalk < 1.2m High,Item description: PRESSURE TREATED WOOD UNIT; Specifications: 100 FT3 FT WIDE ; Comments: ELEVATED WALKWAY TO THE PIT TOILET,86997,AST_EX_20250818_114301.jpeg,,,Timber,,No,No railings,120.0,Timber/Wood,,Timber,,1.0,True,long (>100m),standard (0.9-1.5m),,
data/citywide/images/337/46933/59582__IMG_2182.JPG,True,46933,337,Boardwalk < 1.2m High,"2""x8""x8' decking on 6""x6"" sills, # sills & # sections?",59582,IMG_2182.JPG,,,Timber,,No,No railings,150.0,Timber/Wood,,Timber,,0.5,True,long (>100m),narrow (<0.9m),,
data/citywide/images/337/47664/86079__AST_EX_20250803_081025.jpeg,True,47664,337,Boardwalk < 1.2m High,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86079,AST_EX_20250803_081025.jpeg,,,Timber,,No,No railings,200.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/46935/59882__IMG_1070.JPG,True,46935,337,Boardwalk < 1.2m High,8' wide wood decked boardwalk with log stringers,59882,IMG_1070.JPG,,,Timber,,No,No railings,15.0,Timber/Wood,,Timber,,3.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/46615/7974__AST_EX_20210725_102426.jpeg,True,46615,337,Boardwalk < 1.2m High,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,7974,AST_EX_20210725_102426.jpeg,,,Timber,,No,No railings,2600.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/46615/7975__AST_EX_20210725_102345.jpeg,True,46615,337,Boardwalk < 1.2m High,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,7975,AST_EX_20210725_102345.jpeg,,,Timber,,No,No railings,2600.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/47664/86081__AST_EX_20250803_081016.jpeg,True,47664,337,Boardwalk < 1.2m High,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86081,AST_EX_20250803_081016.jpeg,,,Timber,,No,No railings,200.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/48119/13815__MI_20210809_144926.jpg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,13815,MI_20210809_144926.jpg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/47664/86084__AST_EX_20250803_080930.jpeg,True,47664,337,Boardwalk < 1.2m High,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86084,AST_EX_20250803_080930.jpeg,,,Timber,,No,No railings,200.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/48119/86267__AST_EX_20250807_142035.jpeg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,86267,AST_EX_20250807_142035.jpeg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48119/86268__AST_EX_20250807_142000.jpeg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,86268,AST_EX_20250807_142000.jpeg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48120/12529__MI_20210809_122601.jpg,True,48120,337,Boardwalk < 1.2m High,Kibbee Lk - Indian Point,12529,MI_20210809_122601.jpg,,,Timber,,No,No railings,10.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48121/86240__AST_EX_20250808_133154.jpeg,True,48121,337,Boardwalk < 1.2m High,Isaac River Trail Type Ii,86240,AST_EX_20250808_133154.jpeg,,,Timber,,No,No railings,6.0,Timber/Wood,,Timber,,,True,short (<20m),,,
data/citywide/images/337/48637/27383__AST_EX_20211013_101432.jpeg,True,48637,337,Boardwalk < 1.2m High,Cape Scott Hiking Trail; Item description: FISHERMANS BOARDWALK;,27383,AST_EX_20211013_101432.jpeg,,,Timber,,No,No railings,18.0,Timber/Wood,,Timber,,,True,short (<20m),,,
data/citywide/images/337/48934/15282__AST_EX_20210811_144938.jpeg,True,48934,337,Boardwalk < 1.2m High,Boardwalk,15282,AST_EX_20210811_144938.jpeg,,,Timber,,No,No railings,62.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/48514/41791__lake_trail_boardwalk.JPG,True,48514,337,Boardwalk < 1.2m High,"Short wood boardwalk over muddy/wet section of lake trail, 2"" X 4"" wood decking 3m wide",41791,lake trail boardwalk.JPG,,,Timber,,No,No railings,10.668,Timber/Wood,,Timber,,3.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48634/27385__AST_EX_20211013_101620.jpeg,True,48634,337,Boardwalk < 1.2m High,"Cape Scott Backcountry; Item description: BOARDWALK: (NELS BIGHT TO DONALDSONS FARM); Specifications: elevated WOOD BOARD -WALK, NELS BIGHT TO DONALDSONS FARM. ; Comments: ALL MATERIALS flown in",27385,AST_EX_20211013_101620.jpeg,,,Timber,,No,No railings,2300.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/48934/15283__AST_EX_20210811_144911.jpeg,True,48934,337,Boardwalk < 1.2m High,Boardwalk,15283,AST_EX_20210811_144911.jpeg,,,Timber,,No,No railings,62.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/48933/15279__AST_EX_20210811_144952.jpeg,True,48933,337,Boardwalk < 1.2m High,Boardwalk,15279,AST_EX_20210811_144952.jpeg,,,Timber,,No,No railings,104.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/48935/15280__AST_EX_20210811_144721.jpeg,True,48935,337,Boardwalk < 1.2m High,Boardwalk,15280,AST_EX_20210811_144721.jpeg,,,Timber,,No,No railings,42.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/49689/57741__AST_EX_20220804_124755.jpeg,True,49689,337,Boardwalk < 1.2m High,HOLT CREEK TO RIVERSIDE PARK,57741,AST_EX_20220804_124755.jpeg,,,Timber,,No,No railings,120.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/48936/15286__AST_EX_20210811_144036.jpeg,True,48936,337,Boardwalk < 1.2m High,Boardwalk,15286,AST_EX_20210811_144036.jpeg,,,Timber,,No,No railings,22.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/50513/42056__AST_EX_20220511_124819.jpeg,True,50513,337,Boardwalk < 1.2m High,Dahl Lake Day Use,42056,AST_EX_20220511_124819.jpeg,,,Timber,,No,No railings,3.0,Timber/Wood,,Timber,,,True,short (<20m),,,
data/citywide/images/337/50513/42057__AST_EX_20220511_124829.jpeg,True,50513,337,Boardwalk < 1.2m High,Dahl Lake Day Use,42057,AST_EX_20220511_124829.jpeg,,,Timber,,No,No railings,3.0,Timber/Wood,,Timber,,,True,short (<20m),,,
data/citywide/images/337/51255/70478__MI_20240629_131154.jpg,True,51255,337,Boardwalk < 1.2m High,"in campground, 1M WIDE",70478,MI_20240629_131154.jpg,,,Timber,,No,No railings,30.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/51254/82202__PXL_20250516_175632212.jpg,True,51254,337,Boardwalk < 1.2m High,170 M; 70 METERS OF TIMBER AND PLANK BOARDWALK,82202,PXL_20250516_175632212.jpg,,,Timber,,No,No railings,170.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/51256/69944__AST_EX_20240623_084827.jpeg,True,51256,337,Boardwalk < 1.2m High,5M Board Walk Located On Trail to Campsite,69944,AST_EX_20240623_084827.jpeg,,,Timber,,No,No railings,20.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/51256/70003__AST_EX_20240622_123305.jpeg,True,51256,337,Boardwalk < 1.2m High,5M Board Walk Located On Trail to Campsite,70003,AST_EX_20240622_123305.jpeg,,,Timber,,No,No railings,20.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/51256/69958__AST_EX_20240623_084753.jpeg,True,51256,337,Boardwalk < 1.2m High,5M Board Walk Located On Trail to Campsite,69958,AST_EX_20240623_084753.jpeg,,,Timber,,No,No railings,20.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/51256/70001__AST_EX_20240622_123341.jpeg,True,51256,337,Boardwalk < 1.2m High,5M Board Walk Located On Trail to Campsite,70001,AST_EX_20240622_123341.jpeg,,,Timber,,No,No railings,20.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/51256/70004__AST_EX_20240622_123326.jpeg,True,51256,337,Boardwalk < 1.2m High,5M Board Walk Located On Trail to Campsite,70004,AST_EX_20240622_123326.jpeg,,,Timber,,No,No railings,20.0,Timber/Wood,,Timber,,,True,medium (20-100m),,,
data/citywide/images/337/51254/53518__IMG_4018.JPG,True,51254,337,Boardwalk < 1.2m High,170 M; 70 METERS OF TIMBER AND PLANK BOARDWALK,53518,IMG_4018.JPG,,,Timber,,No,No railings,170.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/51440/22947__AST_EX_20210921_134402.jpeg,True,51440,337,Boardwalk < 1.2m High,Echo Bay Marine Service Area; Additional notes: Condemned ; Item description: Walk way to Wharf ;,22947,AST_EX_20210921_134402.jpeg,,,Timber,,No,No railings,10.0,Timber/Wood,,Timber,,,True,short (<20m),,,
data/citywide/images/337/51547/18708__AST_EX_20210826_112435.jpeg,True,51547,337,Boardwalk < 1.2m High,46.63m x m |,18708,AST_EX_20210826_112435.jpeg,,,,,,No railings,100.0,Timber/Wood,,,,,True,long (>100m),,,
