,File Name,Asset ID,Category,Segment,Name,Description,Attachments,Adjusted Quantity,Unit of Measure,In-Service Date,All Notes,Length (m),length measure by staff,Width (m),Fall Height (m),Height (m),Number of Steps,Structure Position,"Material (Frame, Tank, Body)",Surface Material,Decking Material,Structure Material,Abutment Material,Has Pedestrian Railing,Has Edge Guard,Bridge Type
0,AST_EX_20240814_102716.jpeg,46340,Bridges,Trail Bridge,Trail Bridge,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,4,7,Length (m),1/1/1992,,7.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,Timber,Timber,Timber,2 railings,No,Beam
1,AST_EX_20240814_102658.jpeg,46340,Bridges,Trail Bridge,Trail Bridge,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,4,7,Length (m),1/1/1992,,7.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,Timber,Timber,Timber,2 railings,No,Beam
2,AST_EX_20240814_102613.jpeg,46340,Bridges,Trail Bridge,Trail Bridge,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,4,7,Length (m),1/1/1992,,7.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,Timber,Timber,Timber,2 railings,No,Beam
3,AST_EX_20240814_102636.jpeg,46340,Bridges,Trail Bridge,Trail Bridge,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,4,7,Length (m),1/1/1992,,7.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,Timber,Timber,Timber,2 railings,No,Beam
4,AST_EX_20251210_115555.jpeg,46496,Structures,Stairs,Stairs - South Beach,Alice Lake South Beach; Additional notes: y; Item description: THREE SETS OF STAIRS; Specifications: FROM PARKING LOTS TO PICNIC AREA STONE CONSTRUCTION ;,2,37,Length (m),1/1/1962,,37.0,True,,-1.0,0.0,0.0,TBD,Natural Surface,,,,,No railings,,
5,AST_EX_20251210_115607.jpeg,46496,Structures,Stairs,Stairs - South Beach,Alice Lake South Beach; Additional notes: y; Item description: THREE SETS OF STAIRS; Specifications: FROM PARKING LOTS TO PICNIC AREA STONE CONSTRUCTION ;,2,37,Length (m),1/1/1962,,37.0,True,,-1.0,0.0,0.0,TBD,Natural Surface,,,,,No railings,,
6,IMG_9379.JPG,46588,Structures,Stairs,Stairs,"Allison Lake Day Use; 2 SETS STAIRS, 3.5 M X 4.5 M CONCRETE WITH STONE FACING ; stone",1,23,Length (m),1/1/1960,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",23.0,False,,-1.0,0.0,-1.0,At-Grade,Rock/Stone,,,,,No railings,,
7,AST_EX_20210725_103818.jpeg,46614,Bridges,Trail Bridge,Trail Bridge,Ancient Forest Day Use,3,10,Length (m),1/1/2017,Asset within 80.3161304797476 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0,10.0,True,1.0,2.0,1.0,,,Timber/Wood,TBD,Timber,Timber,Timber,TBD,Yes,Beam
8,AST_EX_20210725_112056.jpeg,46614,Bridges,Trail Bridge,Trail Bridge,Ancient Forest Day Use,3,10,Length (m),1/1/2017,Asset within 80.3161304797476 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0,10.0,True,1.0,2.0,1.0,,,Timber/Wood,TBD,Timber,Timber,Timber,TBD,Yes,Beam
9,AST_EX_20210725_112109.jpeg,46614,Bridges,Trail Bridge,Trail Bridge,Ancient Forest Day Use,3,10,Length (m),1/1/2017,Asset within 80.3161304797476 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0,10.0,True,1.0,2.0,1.0,,,Timber/Wood,TBD,Timber,Timber,Timber,TBD,Yes,Beam
