asset_id,filename,file_id,profile_name,image_path,attr_fall_height,attr_has_pedestrian_railing,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_position,fall_height_bin,steps_bin
46496,AST_EX_20251210_115607.jpeg,92010,Stairs,data/citywide/images/356/46496/92010__AST_EX_20251210_115607.jpeg,,No railings,Natural Surface,,,,
46496,AST_EX_20251210_115555.jpeg,92012,Stairs,data/citywide/images/356/46496/92012__AST_EX_20251210_115555.jpeg,,No railings,Natural Surface,,,,
46588,IMG_9379.JPG,30981,Stairs,data/citywide/images/356/46588/30981__IMG_9379.JPG,,No railings,Rock/Stone,,At-Grade,,
46616,AST_EX_20210725_105017.jpeg,7962,Stairs,data/citywide/images/356/46616/7962__AST_EX_20210725_105017.jpeg,,1 railing,Timber/Wood,,Elevated,,
46616,AST_EX_20210725_104937.jpeg,7963,Stairs,data/citywide/images/356/46616/7963__AST_EX_20210725_104937.jpeg,,1 railing,Timber/Wood,,Elevated,,
46616,IMG_20251209_093249968.jpg,91815,Stairs,data/citywide/images/356/46616/91815__IMG_20251209_093249968.jpg,,1 railing,Timber/Wood,,Elevated,,
46616,IMG_20251209_093240914_HDR.jpg,91816,Stairs,data/citywide/images/356/46616/91816__IMG_20251209_093240914_HDR.jpg,,1 railing,Timber/Wood,,Elevated,,
47049,AST_EX_20220601_110955.jpeg,43882,Stairs,data/citywide/images/356/47049/43882__AST_EX_20220601_110955.jpeg,,1 railing,Rock/Stone,,At-Grade,,
47049,AST_EX_20241022_111626.jpeg,75505,Stairs,data/citywide/images/356/47049/75505__AST_EX_20241022_111626.jpeg,,1 railing,Rock/Stone,,At-Grade,,
47050,AST_EX_20241022_112733.jpeg,75503,Stairs,data/citywide/images/356/47050/75503__AST_EX_20241022_112733.jpeg,,No railings,Concrete,,At-Grade,,
47051,AST_EX_20220601_103717.jpeg,43909,Stairs,data/citywide/images/356/47051/43909__AST_EX_20220601_103717.jpeg,,1 railing,Concrete,,At-Grade,,
47051,AST_EX_20240725_124259.jpeg,71367,Stairs,data/citywide/images/356/47051/71367__AST_EX_20240725_124259.jpeg,,1 railing,Concrete,,At-Grade,,
47052,AST_EX_20220601_103822.jpeg,43918,Stairs,data/citywide/images/356/47052/43918__AST_EX_20220601_103822.jpeg,,No railings,Concrete,,At-Grade,,
47052,AST_EX_20241022_114314.jpeg,75507,Stairs,data/citywide/images/356/47052/75507__AST_EX_20241022_114314.jpeg,,No railings,Concrete,,At-Grade,,
47053,MI_20220601_102208.jpg,43873,Stairs,data/citywide/images/356/47053/43873__MI_20220601_102208.jpg,,No railings,Concrete,,At-Grade,,
47053,AST_EX_20240725_113728.jpeg,71435,Stairs,data/citywide/images/356/47053/71435__AST_EX_20240725_113728.jpeg,,No railings,Concrete,,At-Grade,,
47054,AST_EX_20220601_104524.jpeg,43914,Stairs,data/citywide/images/356/47054/43914__AST_EX_20220601_104524.jpeg,,No railings,Box Step,,At-Grade,,
47054,AST_EX_20240725_135329.jpeg,71343,Stairs,data/citywide/images/356/47054/71343__AST_EX_20240725_135329.jpeg,,No railings,Box Step,,At-Grade,,
47184,IMG_8323.JPG,34371,Stairs,data/citywide/images/356/47184/34371__IMG_8323.JPG,,1 railing,Timber/Wood,,Elevated,,
48131,AST_EX_20240809_102145.jpeg,72406,Stairs,data/citywide/images/356/48131/72406__AST_EX_20240809_102145.jpeg,,No railings,Box Step,,At-Grade,,
48131,AST_EX_20240809_102133.jpeg,72407,Stairs,data/citywide/images/356/48131/72407__AST_EX_20240809_102133.jpeg,,No railings,Box Step,,At-Grade,,
48269,AST_EX_20210911_135039.jpeg,21402,Stairs,data/citywide/images/356/48269/21402__AST_EX_20210911_135039.jpeg,,No railings,Box Step,,At-Grade,,
48347,AST_EX_20210805_145415.jpeg,10724,Stairs,data/citywide/images/356/48347/10724__AST_EX_20210805_145415.jpeg,,No railings,Box Step,,At-Grade,,
48394,IMG_7169.JPG,29363,Stairs,data/citywide/images/356/48394/29363__IMG_7169.JPG,,No railings,Concrete,,At-Grade,,
48395,IMG_7257.JPG,30801,Stairs,data/citywide/images/356/48395/30801__IMG_7257.JPG,,,Concrete,,At-Grade,,
48799,AST_EX_20220622_154539.jpeg,48667,Stairs,data/citywide/images/356/48799/48667__AST_EX_20220622_154539.jpeg,,1 railing,Box Step,,At-Grade,,
48937,IMG_6936.JPG,47772,Stairs,data/citywide/images/356/48937/47772__IMG_6936.JPG,,No railings,Concrete,,At-Grade,,
49500,IMG_0180.JPG,25550,Stairs,data/citywide/images/356/49500/25550__IMG_0180.JPG,,No railings,Concrete,,,,
49501,IMG_5813.JPG,49517,Stairs,data/citywide/images/356/49501/49517__IMG_5813.JPG,,No railings,Concrete,,At-Grade,,
49525,AST_EX_20220823_170814.jpeg,60995,Stairs,data/citywide/images/356/49525/60995__AST_EX_20220823_170814.jpeg,,1 railing,Timber/Wood,,Elevated,,
49702,AST_EX_20220216_112215.jpeg,36091,Stairs,data/citywide/images/356/49702/36091__AST_EX_20220216_112215.jpeg,,1 railing,Timber/Wood,,Elevated,,
49702,AST_EX_20220302_111020.jpeg,36346,Stairs,data/citywide/images/356/49702/36346__AST_EX_20220302_111020.jpeg,,1 railing,Timber/Wood,,Elevated,,
49702,AST_EX_20241210_121425.jpeg,78020,Stairs,data/citywide/images/356/49702/78020__AST_EX_20241210_121425.jpeg,,1 railing,Timber/Wood,,Elevated,,
49702,AST_EX_20241210_121518.jpeg,78044,Stairs,data/citywide/images/356/49702/78044__AST_EX_20241210_121518.jpeg,,1 railing,Timber/Wood,,Elevated,,
49703,AST_EX_20220210_114140.jpeg,35757,Stairs,data/citywide/images/356/49703/35757__AST_EX_20220210_114140.jpeg,,No railings,,,Other,,
49703,AST_EX_20220210_114107.jpeg,35783,Stairs,data/citywide/images/356/49703/35783__AST_EX_20220210_114107.jpeg,,No railings,,,Other,,
49704,AST_EX_20210809_143406.jpeg,12171,Stairs,data/citywide/images/356/49704/12171__AST_EX_20210809_143406.jpeg,,No railings,Box Step,,At-Grade,,
49705,AST_EX_20220811_120509.jpeg,58843,Stairs,data/citywide/images/356/49705/58843__AST_EX_20220811_120509.jpeg,,No railings,Box Step,,Other,,
49706,AST_EX_20220804_131243.jpeg,57753,Stairs,data/citywide/images/356/49706/57753__AST_EX_20220804_131243.jpeg,,No railings,Timber/Wood,,At-Grade,,
49706,AST_EX_20220804_131333.jpeg,57755,Stairs,data/citywide/images/356/49706/57755__AST_EX_20220804_131333.jpeg,,No railings,Timber/Wood,,At-Grade,,
49707,AST_EX_20220804_123843.jpeg,57762,Stairs,data/citywide/images/356/49707/57762__AST_EX_20220804_123843.jpeg,,1 railing,Timber/Wood,,Elevated,,
49707,AST_EX_20220804_123709.jpeg,57763,Stairs,data/citywide/images/356/49707/57763__AST_EX_20220804_123709.jpeg,,1 railing,Timber/Wood,,Elevated,,
49707,AST_EX_20241218_123519.jpeg,78149,Stairs,data/citywide/images/356/49707/78149__AST_EX_20241218_123519.jpeg,,1 railing,Timber/Wood,,Elevated,,
49710,AST_EX_20220211_105001.jpeg,35827,Stairs,data/citywide/images/356/49710/35827__AST_EX_20220211_105001.jpeg,,1 railing,Timber/Wood,,At-Grade,,
49710,AST_EX_20241210_120122.jpeg,78022,Stairs,data/citywide/images/356/49710/78022__AST_EX_20241210_120122.jpeg,,1 railing,Timber/Wood,,At-Grade,,
49711,MI_20220707_140301.jpg,52730,Stairs,data/citywide/images/356/49711/52730__MI_20220707_140301.jpg,,1 railing,Box Step,,At-Grade,,
49711,AST_EX_20241218_121758.jpeg,78137,Stairs,data/citywide/images/356/49711/78137__AST_EX_20241218_121758.jpeg,,1 railing,Box Step,,At-Grade,,
49711,AST_EX_20241218_121742.jpeg,78152,Stairs,data/citywide/images/356/49711/78152__AST_EX_20241218_121742.jpeg,,1 railing,Box Step,,At-Grade,,
49711,AST_EX_20241218_121723.jpeg,78160,Stairs,data/citywide/images/356/49711/78160__AST_EX_20241218_121723.jpeg,,1 railing,Box Step,,At-Grade,,
49711,AST_EX_20241218_122015.jpeg,78164,Stairs,data/citywide/images/356/49711/78164__AST_EX_20241218_122015.jpeg,,1 railing,Box Step,,At-Grade,,
49711,AST_EX_20241218_121823.jpeg,78165,Stairs,data/citywide/images/356/49711/78165__AST_EX_20241218_121823.jpeg,,1 railing,Box Step,,At-Grade,,
49711,AST_EX_20241218_122024.jpeg,78166,Stairs,data/citywide/images/356/49711/78166__AST_EX_20241218_122024.jpeg,,1 railing,Box Step,,At-Grade,,
49865,AST_EX_20210804_144027.jpeg,10399,Stairs,data/citywide/images/356/49865/10399__AST_EX_20210804_144027.jpeg,,1 railing,Concrete,,At-Grade,,
50514,AST_EX_20220511_125800.jpeg,42055,Stairs,data/citywide/images/356/50514/42055__AST_EX_20220511_125800.jpeg,,No railings,Box Step,,At-Grade,,
50655,AST_EX_20210812_142911.jpeg,17568,Stairs,data/citywide/images/356/50655/17568__AST_EX_20210812_142911.jpeg,,No railings,Box Step,,At-Grade,,
50655,AST_EX_20240830_165110.jpeg,73030,Stairs,data/citywide/images/356/50655/73030__AST_EX_20240830_165110.jpeg,,No railings,Box Step,,At-Grade,,
50723,MI_20210710_153838.jpg,4959,Stairs,data/citywide/images/356/50723/4959__MI_20210710_153838.jpg,,No railings,Concrete,,At-Grade,,
50723,stairs1.jpg,77022,Stairs,data/citywide/images/356/50723/77022__stairs1.jpg,,No railings,Concrete,,At-Grade,,
50805,AST_EX_20211002_121048.jpeg,25286,Stairs,data/citywide/images/356/50805/25286__AST_EX_20211002_121048.jpeg,,No railings,Box Step,,At-Grade,,
51270,IMG_9104.JPG,52700,Stairs,data/citywide/images/356/51270/52700__IMG_9104.JPG,,1 railing,Timber/Wood,,Elevated,,
51458,AST_EX_20250606_152956.jpeg,83334,Stairs,data/citywide/images/356/51458/83334__AST_EX_20250606_152956.jpeg,,No railings,Concrete,,At-Grade,,
51458,AST_EX_20250606_152945.jpeg,83339,Stairs,data/citywide/images/356/51458/83339__AST_EX_20250606_152945.jpeg,,No railings,Concrete,,At-Grade,,
51536,AST_EX_20241106_114709.jpeg,77015,Stairs,data/citywide/images/356/51536/77015__AST_EX_20241106_114709.jpeg,,No railings,Box Step,,At-Grade,,
51537,AST_EX_20210826_112045[1].jpeg,77900,Stairs,data/citywide/images/356/51537/77900__AST_EX_20210826_112045_1_.jpeg,1.0,2 railings,Timber/Wood,,Elevated,medium (0.5-1.2m),
51537,AST_EX_20210826_112118[1].jpeg,77901,Stairs,data/citywide/images/356/51537/77901__AST_EX_20210826_112118_1_.jpeg,1.0,2 railings,Timber/Wood,,Elevated,medium (0.5-1.2m),
51537,AST_EX_20210826_112202[1].jpeg,77902,Stairs,data/citywide/images/356/51537/77902__AST_EX_20210826_112202_1_.jpeg,1.0,2 railings,Timber/Wood,,Elevated,medium (0.5-1.2m),
51537,AST_EX_20210826_113218[1].jpeg,77903,Stairs,data/citywide/images/356/51537/77903__AST_EX_20210826_113218_1_.jpeg,1.0,2 railings,Timber/Wood,,Elevated,medium (0.5-1.2m),
51543,AST_EX_20241106_114549.jpeg,77016,Stairs,data/citywide/images/356/51543/77016__AST_EX_20241106_114549.jpeg,,,Box Step,,At-Grade,,
51544,AST_EX_20241106_132304.jpeg,77009,Stairs,data/citywide/images/356/51544/77009__AST_EX_20241106_132304.jpeg,,,Timber/Wood,,At-Grade,,
51545,AST_EX_20210617_120315.jpeg,1137,Stairs,data/citywide/images/356/51545/1137__AST_EX_20210617_120315.jpeg,,,Metal,,,,
51695,IMG_9137.JPG,34064,Stairs,data/citywide/images/356/51695/34064__IMG_9137.JPG,,No railings,Concrete,8.0,At-Grade,,few (<10)
51804,AST_EX_20211103_152256.jpeg,30765,Stairs,data/citywide/images/356/51804/30765__AST_EX_20211103_152256.jpeg,,,Box Step,,At-Grade,,
51804,AST_EX_20241128_121633.jpeg,77876,Stairs,data/citywide/images/356/51804/77876__AST_EX_20241128_121633.jpeg,,,Box Step,,At-Grade,,
51804,AST_EX_20241128_121641.jpeg,77877,Stairs,data/citywide/images/356/51804/77877__AST_EX_20241128_121641.jpeg,,,Box Step,,At-Grade,,
51805,AST_EX_20211103_151509.jpeg,30761,Stairs,data/citywide/images/356/51805/30761__AST_EX_20211103_151509.jpeg,,No railings,Timber/Wood,,,,
51805,AST_EX_20211103_151456.jpeg,30762,Stairs,data/citywide/images/356/51805/30762__AST_EX_20211103_151456.jpeg,,No railings,Timber/Wood,,,,
52072,IMG_1604.JPG,38973,Stairs,data/citywide/images/356/52072/38973__IMG_1604.JPG,,1 railing,Timber/Wood,,Elevated,,
52146,AST_EX_20220525_134932.jpeg,42915,Stairs,data/citywide/images/356/52146/42915__AST_EX_20220525_134932.jpeg,,1 railing,Timber/Wood,,At-Grade,,
52162,AST_EX_20220807_100025.jpeg,58220,Stairs,data/citywide/images/356/52162/58220__AST_EX_20220807_100025.jpeg,,,Box Step,,At-Grade,,
52248,AST_EX_20220510_114016.jpeg,40567,Stairs,data/citywide/images/356/52248/40567__AST_EX_20220510_114016.jpeg,,2 railings,Timber/Wood,,Elevated,,
52248,AST_EX_20220510_113813.jpeg,40586,Stairs,data/citywide/images/356/52248/40586__AST_EX_20220510_113813.jpeg,,2 railings,Timber/Wood,,Elevated,,
52248,AST_EX_20241016_132736.jpeg,75267,Stairs,data/citywide/images/356/52248/75267__AST_EX_20241016_132736.jpeg,,2 railings,Timber/Wood,,Elevated,,
52249,AST_EX_20220510_132107.jpeg,40609,Stairs,data/citywide/images/356/52249/40609__AST_EX_20220510_132107.jpeg,,,Box Step,,At-Grade,,
52249,AST_EX_20241016_125604.jpeg,75271,Stairs,data/citywide/images/356/52249/75271__AST_EX_20241016_125604.jpeg,,,Box Step,,At-Grade,,
52547,IMG_0725.JPG,75355,Stairs,data/citywide/images/356/52547/75355__IMG_0725.JPG,,No railings,Timber/Wood,,Elevated,,
52547,IMG_0727.JPG,75356,Stairs,data/citywide/images/356/52547/75356__IMG_0727.JPG,,No railings,Timber/Wood,,Elevated,,
52547,IMG_0726.JPG,75357,Stairs,data/citywide/images/356/52547/75357__IMG_0726.JPG,,No railings,Timber/Wood,,Elevated,,
52547,AST_EX_20250801_105417.jpeg,85741,Stairs,data/citywide/images/356/52547/85741__AST_EX_20250801_105417.jpeg,,No railings,Timber/Wood,,Elevated,,
52621,IMG_3325.JPG,53759,Stairs,data/citywide/images/356/52621/53759__IMG_3325.JPG,,No railings,Timber/Wood,,,,
52622,IMG_3324.JPG,53754,Stairs,data/citywide/images/356/52622/53754__IMG_3324.JPG,,,Timber/Wood,,At-Grade,,
52951,AST_EX_20241122_101939.jpeg,77726,Stairs,data/citywide/images/356/52951/77726__AST_EX_20241122_101939.jpeg,,,Concrete,,At-Grade,,
52952,AST_EX_20220628_130004.jpeg,50107,Stairs,data/citywide/images/356/52952/50107__AST_EX_20220628_130004.jpeg,,1 railing,Timber/Wood,,Elevated,,
52953,AST_EX_20220628_113048.jpeg,50118,Stairs,data/citywide/images/356/52953/50118__AST_EX_20220628_113048.jpeg,,1 railing,Concrete,,At-Grade,,
52956,AST_EX_20220525_133136.jpeg,42900,Stairs,data/citywide/images/356/52956/42900__AST_EX_20220525_133136.jpeg,,,Concrete,,At-Grade,,
52957,MI_20220525_132640.jpg,42891,Stairs,data/citywide/images/356/52957/42891__MI_20220525_132640.jpg,,,Concrete,,At-Grade,,
