,File Name,Asset ID,Description,Abutment Material,Fall Height (m),Has Pedestrian Railing,"Material (Frame, Tank, Body)",Number of Steps,Structure Material,Width (m)
0,AST_EX_20251210_115555.jpeg,46496,Alice Lake South Beach; Additional notes: y; Item description: THREE SETS OF STAIRS; Specifications: FROM PARKING LOTS TO PICNIC AREA STONE CONSTRUCTION ;,,-1.0,No railings,Natural Surface,0.0,,
1,AST_EX_20251210_115607.jpeg,46496,Alice Lake South Beach; Additional notes: y; Item description: THREE SETS OF STAIRS; Specifications: FROM PARKING LOTS TO PICNIC AREA STONE CONSTRUCTION ;,,-1.0,No railings,Natural Surface,0.0,,
2,IMG_9379.JPG,46588,"Allison Lake Day Use; 2 SETS STAIRS, 3.5 M X 4.5 M CONCRETE WITH STONE FACING ; stone",,-1.0,No railings,Rock/Stone,-1.0,,
3,IMG_20251209_093240914_HDR.jpg,46616,Ancient Forest Day Use; Cedar; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
4,IMG_20251209_093249968.jpg,46616,Ancient Forest Day Use; Cedar; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
5,AST_EX_20210725_104937.jpeg,46616,Ancient Forest Day Use; Cedar; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
6,AST_EX_20210725_105017.jpeg,46616,Ancient Forest Day Use; Cedar; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
7,AST_EX_20241022_111626.jpeg,47049,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",,-1.0,1 railing,Rock/Stone,-1.0,,
8,AST_EX_20220601_110955.jpeg,47049,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",,-1.0,1 railing,Rock/Stone,-1.0,,
9,AST_EX_20241022_112733.jpeg,47050,"Bamberton Day Use; STAIRS:(AT BOTTOM OF PATH @ PARKIN-LOT PICNIC AREA; 16 RISER IN TOTAL ON TWO-WAY STAIRS,UP &DOWN, MORTARED ROCK SLATE. ; concrete",,-1.0,No railings,Concrete,-1.0,,
10,AST_EX_20240725_124259.jpeg,47051,Bamberton Campground; (TO C/S # 19); 14 RISER CONC. STAIRS DOWN TO C/S #19.; concrete,,-1.0,1 railing,Concrete,-1.0,,
11,AST_EX_20220601_103717.jpeg,47051,Bamberton Campground; (TO C/S # 19); 14 RISER CONC. STAIRS DOWN TO C/S #19.; concrete,,-1.0,1 railing,Concrete,-1.0,,
12,AST_EX_20241022_114314.jpeg,47052,Bamberton Campground; (DOWN TO C/S #17); 12 RISER CONC. STAIRS. ; concrete,,-1.0,No railings,Concrete,-1.0,,
13,AST_EX_20220601_103822.jpeg,47052,Bamberton Campground; (DOWN TO C/S #17); 12 RISER CONC. STAIRS. ; concrete,,-1.0,No railings,Concrete,-1.0,,
14,AST_EX_20240725_113728.jpeg,47053,Bamberton Campground; (C/S 9); concrete,,-1.0,No railings,Concrete,-1.0,,
15,MI_20220601_102208.jpg,47053,Bamberton Campground; (C/S 9); concrete,,-1.0,No railings,Concrete,-1.0,,
16,AST_EX_20240725_135329.jpeg,47054,Bamberton Campground; (C/S 41); boxsteps,,-1.0,No railings,Box Step,-1.0,,
17,AST_EX_20220601_104524.jpeg,47054,Bamberton Campground; (C/S 41); boxsteps,,-1.0,No railings,Box Step,-1.0,,
18,IMG_8323.JPG,47184,"Steps And Railings Ancored With Concrete; Steps 4X 12"" Pt Railing 2X 6"" Pt Wood Posts 4X 6"" Pt ; 220 Feet Of Stairs With 9 Flat Landings; wood staircase",,-1.0,1 railing,Timber/Wood,-1.0,,
19,AST_EX_20240809_102133.jpeg,48131,STAIRS TO REG CENTER; boxsteps,,-1.0,No railings,Box Step,-1.0,,
20,AST_EX_20240809_102145.jpeg,48131,STAIRS TO REG CENTER; boxsteps,,-1.0,No railings,Box Step,-1.0,,
21,AST_EX_20210911_135039.jpeg,48269,Boyle Point Day Use; Stairs appear to lead into seasonal streambed/access road from pit toilet.; boxsteps,,-1.0,No railings,Box Step,-1.0,,
22,AST_EX_20210805_145415.jpeg,48347,Bridal Veil Falls Day Use; 52 steps on woodland trail; boxsteps,,-1.0,No railings,Box Step,-1.0,,
23,IMG_7169.JPG,48394,; concrete,,-1.0,No railings,Concrete,-1.0,,
24,IMG_7257.JPG,48395,; concrete,,-1.0,TBD,Concrete,-1.0,,
25,AST_EX_20220622_154539.jpeg,48799,Carp Lake- War Falls Day Use; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
26,IMG_6936.JPG,48937,Stairs; concrete,,-1.0,No railings,Concrete,-1.0,,
27,IMG_0180.JPG,49500,FROM CPGD. TO DAY USE AREA;,,-1.0,No railings,Concrete,0.0,,
28,IMG_5813.JPG,49501,Conkle Lake Group Campground; FROM GROUP AREA TO DAY USE AREA; concrete,,-1.0,No railings,Concrete,-1.0,,
29,AST_EX_20220823_170814.jpeg,49525,10 steps with railing and landing at top; concrete slab at base; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
