asset_id,filename,file_id,profile_name,image_path,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_pedestrian_railing,attr_length,attr_structure_material,attr_width,length_bin,width_bin,fall_height_bin
46340,AST_EX_20240814_102636.jpeg,72712,Trail Bridge,data/citywide/images/253/46340/72712__AST_EX_20240814_102636.jpeg,Timber,Beam,Timber,,,7.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
46340,AST_EX_20240814_102613.jpeg,72713,Trail Bridge,data/citywide/images/253/46340/72713__AST_EX_20240814_102613.jpeg,Timber,Beam,Timber,,,7.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
46340,AST_EX_20240814_102658.jpeg,72714,Trail Bridge,data/citywide/images/253/46340/72714__AST_EX_20240814_102658.jpeg,Timber,Beam,Timber,,,7.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
46340,AST_EX_20240814_102716.jpeg,72718,Trail Bridge,data/citywide/images/253/46340/72718__AST_EX_20240814_102716.jpeg,Timber,Beam,Timber,,,7.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
46614,AST_EX_20210725_112109.jpeg,7983,Trail Bridge,data/citywide/images/253/46614/7983__AST_EX_20210725_112109.jpeg,Timber,Beam,Timber,2.0,,10.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),medium (1-5m)
46614,AST_EX_20210725_112056.jpeg,7984,Trail Bridge,data/citywide/images/253/46614/7984__AST_EX_20210725_112056.jpeg,Timber,Beam,Timber,2.0,,10.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),medium (1-5m)
46614,AST_EX_20210725_103818.jpeg,7985,Trail Bridge,data/citywide/images/253/46614/7985__AST_EX_20210725_103818.jpeg,Timber,Beam,Timber,2.0,,10.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),medium (1-5m)
46922,IMG_3657.JPG,59881,Trail Bridge,data/citywide/images/253/46922/59881__IMG_3657.JPG,,Beam,Timber,,No railings,10.0,Steel,2.0,medium (6-20m),wide (>1.5m),
46923,IMG_9175.JPG,55347,Trail Bridge,data/citywide/images/253/46923/55347__IMG_9175.JPG,,Beam,,,No railings,,Timber,1.0,,standard (0.9-1.5m),
46924,DSC00003.JPG,55365,Trail Bridge,data/citywide/images/253/46924/55365__DSC00003.JPG,,Beam,Timber,,No railings,2.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
46925,Bridge.JPG,59520,Trail Bridge,data/citywide/images/253/46925/59520__Bridge.JPG,,Beam,Timber,,No railings,8.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
46926,IMG_8936.JPG,55579,Trail Bridge,data/citywide/images/253/46926/55579__IMG_8936.JPG,,Beam,Timber,,No railings,6.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
46927,IMG_9059.JPG,59886,Trail Bridge,data/citywide/images/253/46927/59886__IMG_9059.JPG,,Beam,Timber,,,,Timber,0.5,,narrow (<0.9m),
46928,Silver King Creek Foot Bridge.JPG,59883,Trail Bridge,data/citywide/images/253/46928/59883__Silver_King_Creek_Foot_Bridge.JPG,,Beam,Timber,,,,Timber,0.5,,narrow (<0.9m),
46929,IMG_9002.JPG,55377,Trail Bridge,data/citywide/images/253/46929/55377__IMG_9002.JPG,,Beam,,,No railings,5.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
46931,asst 043.jpg,55371,Trail Bridge,data/citywide/images/253/46931/55371__asst_043.jpg,,Beam,Timber,,,8.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
46932,Water tap foot bridge behind the cabin.JPG,59884,Trail Bridge,data/citywide/images/253/46932/59884__Water_tap_foot_bridge_behind_the_cabin.JPG,,Beam,Timber,,No railings,5.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
47182,IMG_8322.JPG,34369,Trail Bridge,data/citywide/images/253/47182/34369__IMG_8322.JPG,,,,,No railings,,,1.0,,standard (0.9-1.5m),
47299,AST_EX_20210804_153822.jpeg,10494,Trail Bridge,data/citywide/images/253/47299/10494__AST_EX_20210804_153822.jpeg,,,Timber,,,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
47299,AST_EX_20240615_152418.jpeg,69664,Trail Bridge,data/citywide/images/253/47299/69664__AST_EX_20240615_152418.jpeg,,,Timber,,,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
47389,AST_EX_20220705_141353.jpeg,52500,Trail Bridge,data/citywide/images/253/47389/52500__AST_EX_20220705_141353.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
47532,Otter Marsh North.JPG,45533,Trail Bridge,data/citywide/images/253/47532/45533__Otter_Marsh_North.JPG,Concrete,Beam,Timber,,,,Timber,1.5,,wide (>1.5m),
47532,AST_EX_20241109_124957.jpeg,77333,Trail Bridge,data/citywide/images/253/47532/77333__AST_EX_20241109_124957.jpeg,Concrete,Beam,Timber,,,,Timber,1.5,,wide (>1.5m),
47533,Otter Marsh South.JPG,45532,Trail Bridge,data/citywide/images/253/47533/45532__Otter_Marsh_South.JPG,Concrete,Beam,Timber,,,,Timber,1.5,,wide (>1.5m),
47533,AST_EX_20241109_131920.jpeg,77335,Trail Bridge,data/citywide/images/253/47533/77335__AST_EX_20241109_131920.jpeg,Concrete,Beam,Timber,,,,Timber,1.5,,wide (>1.5m),
47633,AST_EX_20220619_104322.jpeg,47727,Trail Bridge,data/citywide/images/253/47633/47727__AST_EX_20220619_104322.jpeg,Timber,Beam,Timber,,No railings,20.0,Timber,1.5,long (>20m),wide (>1.5m),
47636,AST_EX_20220618_165426.jpeg,47709,Trail Bridge,data/citywide/images/253/47636/47709__AST_EX_20220618_165426.jpeg,Timber,Beam,Timber,,No railings,,Timber,1.0,,standard (0.9-1.5m),
47637,AST_EX_20251010_120542.jpeg,89365,Trail Bridge,data/citywide/images/253/47637/89365__AST_EX_20251010_120542.jpeg,,Beam,Timber,,,10.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
47637,AST_EX_20251010_120124.jpeg,89367,Trail Bridge,data/citywide/images/253/47637/89367__AST_EX_20251010_120124.jpeg,,Beam,Timber,,,10.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
48111,MI_20210810_083230.jpg,13824,Trail Bridge,data/citywide/images/253/48111/13824__MI_20210810_083230.jpg,Timber,Truss,Timber,,,,Timber,1.5,,wide (>1.5m),
48111,AST_EX_20240913_124155.jpeg,73467,Trail Bridge,data/citywide/images/253/48111/73467__AST_EX_20240913_124155.jpeg,Timber,Truss,Timber,,,,Timber,1.5,,wide (>1.5m),
48112,AST_EX_20240913_141001.jpeg,73499,Trail Bridge,data/citywide/images/253/48112/73499__AST_EX_20240913_141001.jpeg,Timber,Truss,Timber,,,,Timber,1.5,,wide (>1.5m),
48296,AST_EX_20210823_113827.jpeg,17697,Trail Bridge,data/citywide/images/253/48296/17697__AST_EX_20210823_113827.jpeg,,Beam,Timber,,,15.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
48340,AST_EX_20210805_150953.jpeg,10720,Trail Bridge,data/citywide/images/253/48340/10720__AST_EX_20210805_150953.jpeg,,,Timber,,No railings,4.0,Steel,1.0,short (<6m),standard (0.9-1.5m),
48341,AST_EX_20210805_150527.jpeg,10732,Trail Bridge,data/citywide/images/253/48341/10732__AST_EX_20210805_150527.jpeg,,,Steel,,No railings,5.0,Steel,1.0,short (<6m),standard (0.9-1.5m),
48342,AST_EX_20210805_145833.jpeg,10734,Trail Bridge,data/citywide/images/253/48342/10734__AST_EX_20210805_145833.jpeg,,,Timber,,No railings,2.5,Steel,1.5,short (<6m),wide (>1.5m),
48343,AST_EX_20210805_144402.jpeg,10737,Trail Bridge,data/citywide/images/253/48343/10737__AST_EX_20210805_144402.jpeg,,,Timber,,,8.0,Steel,1.5,medium (6-20m),wide (>1.5m),
48344,AST_EX_20210805_143944.jpeg,10723,Trail Bridge,data/citywide/images/253/48344/10723__AST_EX_20210805_143944.jpeg,,,Timber,,,5.0,Steel,1.5,short (<6m),wide (>1.5m),
48345,AST_EX_20210805_151203.jpeg,10719,Trail Bridge,data/citywide/images/253/48345/10719__AST_EX_20210805_151203.jpeg,,,Timber,,No railings,4.0,,1.0,short (<6m),standard (0.9-1.5m),
48488,AST_EX_20210804_132904.jpeg,10641,Trail Bridge,data/citywide/images/253/48488/10641__AST_EX_20210804_132904.jpeg,,Beam,,,,,,1.0,,standard (0.9-1.5m),
48488,AST_EX_20220818_102517.jpeg,59937,Trail Bridge,data/citywide/images/253/48488/59937__AST_EX_20220818_102517.jpeg,,Beam,,,,,,1.0,,standard (0.9-1.5m),
48625,20241106_102137 (resized).jpg,78275,Trail Bridge,data/citywide/images/253/48625/78275__20241106_102137__resized_.jpg,,Beam,,,No railings,,,1.0,,standard (0.9-1.5m),
48627,AST_EX_20210924_094144.jpeg,23628,Trail Bridge,data/citywide/images/253/48627/23628__AST_EX_20210924_094144.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48627,20241106_142001.jpg,77393,Trail Bridge,data/citywide/images/253/48627/77393__20241106_142001.jpg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48628,AST_EX_20210922_160725.jpeg,23853,Trail Bridge,data/citywide/images/253/48628/23853__AST_EX_20210922_160725.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48693,AST_EX_20210910_124848.jpeg,21314,Trail Bridge,data/citywide/images/253/48693/21314__AST_EX_20210910_124848.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48693,AST_EX_20240607_105725.jpeg,69375,Trail Bridge,data/citywide/images/253/48693/69375__AST_EX_20240607_105725.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48693,AST_EX_20240607_105715.jpeg,69391,Trail Bridge,data/citywide/images/253/48693/69391__AST_EX_20240607_105715.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48693,AST_EX_20240607_105533.jpeg,69392,Trail Bridge,data/citywide/images/253/48693/69392__AST_EX_20240607_105533.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48694,AST_EX_20240607_162551.jpeg,72701,Trail Bridge,data/citywide/images/253/48694/72701__AST_EX_20240607_162551.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48695,AST_EX_20240607_162602.jpeg,72702,Trail Bridge,data/citywide/images/253/48695/72702__AST_EX_20240607_162602.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48696,AST_EX_20210910_122112.jpeg,21320,Trail Bridge,data/citywide/images/253/48696/21320__AST_EX_20210910_122112.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48696,AST_EX_20240607_163046.jpeg,69368,Trail Bridge,data/citywide/images/253/48696/69368__AST_EX_20240607_163046.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48696,AST_EX_20240607_162908.jpeg,69369,Trail Bridge,data/citywide/images/253/48696/69369__AST_EX_20240607_162908.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48696,AST_EX_20240607_162852.jpeg,69387,Trail Bridge,data/citywide/images/253/48696/69387__AST_EX_20240607_162852.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48697,AST_EX_20210910_130408.jpeg,21316,Trail Bridge,data/citywide/images/253/48697/21316__AST_EX_20210910_130408.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
48697,AST_EX_20240607_113554.jpeg,69427,Trail Bridge,data/citywide/images/253/48697/69427__AST_EX_20240607_113554.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
