,File Name,Asset ID,Description,Abutment Material,Bridge Type,Decking Material,Fall Height (m),Has Pedestrian Railing,Length (m),length measure by staff,Structure Material,Structure Position,Width (m)
0,AST_EX_20240814_102716.jpeg,46340,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,Timber,Beam,Timber,-1.0,2 railings,7.0,True,Timber,,1.0
1,AST_EX_20240814_102658.jpeg,46340,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,Timber,Beam,Timber,-1.0,2 railings,7.0,True,Timber,,1.0
2,AST_EX_20240814_102613.jpeg,46340,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,Timber,Beam,Timber,-1.0,2 railings,7.0,True,Timber,,1.0
3,AST_EX_20240814_102636.jpeg,46340,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,Timber,Beam,Timber,-1.0,2 railings,7.0,True,Timber,,1.0
4,AST_EX_20210725_103818.jpeg,46614,Ancient Forest Day Use,Timber,Beam,Timber,2.0,TBD,10.0,True,Timber,,1.0
5,AST_EX_20210725_112056.jpeg,46614,Ancient Forest Day Use,Timber,Beam,Timber,2.0,TBD,10.0,True,Timber,,1.0
6,AST_EX_20210725_112109.jpeg,46614,Ancient Forest Day Use,Timber,Beam,Timber,2.0,TBD,10.0,True,Timber,,1.0
7,IMG_3657.JPG,46922,Bridge over Danny Moore Creek. Wood decking on steel I beams.,TBD,Beam,Timber,-1.0,No railings,10.0,True,Steel,,2.0
8,DSC00003.JPG,46924,"36"" X 6"" STRINGERS 6' X 2"" X 6"" DECKING PRESSURE TREATED ;",TBD,Beam,Timber,-1.0,No railings,2.0,True,Timber,,1.0
9,Bridge.JPG,46925,"10""X10""X22' wood stringers 2"" X 6"" X 3' wood decking",TBD,Beam,Timber,-1.0,No railings,8.0,True,Timber,,1.0
10,IMG_8936.JPG,46926,"STRINGERS 10""X10""X18FT DECKINGROUGH CUT 2X6 3FEET WIDE ;",TBD,Beam,Timber,-1.0,No railings,6.0,True,Timber,,1.0
11,IMG_9002.JPG,46929,Log bridge,TBD,Beam,TBD,-1.0,No railings,5.0,True,Timber,,1.0
12,asst 043.jpg,46931,Log bridge in Higgins Basin,TBD,Beam,Timber,-1.0,TBD,8.0,True,Timber,,1.0
13,Water tap foot bridge behind the cabin.JPG,46932,Water hose bridge. 3'x12' ft,TBD,Beam,Timber,-1.0,No railings,5.0,True,Timber,,1.0
14,IMG_8322.JPG,47182,First Footbridge Across Creek Was Replaced In 1996. 48 Feet Long $20000.,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
15,AST_EX_20240615_152418.jpeg,47299,Beatton Day Use,TBD,TBD,Timber,-1.0,TBD,4.0,True,Timber,,1.0
16,AST_EX_20210804_153822.jpeg,47299,Beatton Day Use,TBD,TBD,Timber,-1.0,TBD,4.0,True,Timber,,1.0
17,AST_EX_20220705_141353.jpeg,47389,Beaumont Service Area,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
18,AST_EX_20241109_124957.jpeg,47532,Elevated footbridge over North end of Otter Marsh wetland area.,Concrete,Beam,Timber,-1.0,TBD,0.0,False,Timber,,1.5
19,Otter Marsh North.JPG,47532,Elevated footbridge over North end of Otter Marsh wetland area.,Concrete,Beam,Timber,-1.0,TBD,0.0,False,Timber,,1.5
20,AST_EX_20241109_131920.jpeg,47533,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,Concrete,Beam,Timber,-1.0,TBD,0.0,False,Timber,,1.5
21,Otter Marsh South.JPG,47533,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,Concrete,Beam,Timber,-1.0,TBD,0.0,False,Timber,,1.5
22,AST_EX_20220619_104322.jpeg,47633,Birkenhead Lake Park - Foot Bridge - Wilderness Lake Trail,Timber,Beam,Timber,-1.0,No railings,20.0,True,Timber,,1.5
23,AST_EX_20220618_165426.jpeg,47636,"LAKE TRAIL, BRIDGE ON CORNER; Specifications: WOOD CONSTRUCTION STAINED ; Comments: GOOD",Timber,Beam,Timber,-1.0,No railings,0.0,False,Timber,,1.0
24,AST_EX_20251010_120124.jpeg,47637,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,1.0
25,AST_EX_20251010_120542.jpeg,47637,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,1.0
26,AST_EX_20240913_124155.jpeg,48111,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,Timber,Truss,Timber,-1.0,TBD,0.0,False,Timber,,1.5
27,MI_20210810_083230.jpg,48111,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,Timber,Truss,Timber,-1.0,TBD,0.0,False,Timber,,1.5
28,AST_EX_20240913_141001.jpeg,48112,"WOOD CONSTRUCTION, OLD BRIDGE STRUCTURE REMOVED AND NEW UNIT BUILT IN 1995 RR&A PROJECT",Timber,Truss,Timber,-1.0,TBD,0.0,False,Timber,,1.5
