image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/337/61735/65772__AST_EX_20230810_114109.jpeg,True,61735,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65772,AST_EX_20230810_114109.jpeg,Timber,Beam,Timber,,No,No railings,7.0,,,,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61737/65770__AST_EX_20230810_115108.jpeg,True,61737,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65770,AST_EX_20230810_115108.jpeg,Timber,Beam,,,No,No railings,7.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61742/65776__AST_EX_20230810_105132.jpeg,True,61742,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65776,AST_EX_20230810_105132.jpeg,Timber,Beam,Timber,,No,No railings,5.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61734/65775__AST_EX_20230810_113753.jpeg,True,61734,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65775,AST_EX_20230810_113753.jpeg,Timber,Beam,Timber,,No,No railings,3.0,,,,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61742/65777__AST_EX_20230810_104803.jpeg,True,61742,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65777,AST_EX_20230810_104803.jpeg,Timber,Beam,Timber,,No,No railings,5.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61732/65774__AST_EX_20230810_113706.jpeg,True,61732,337,Boardwalk < 1.2m High,Lower Flume boardwalk,65774,AST_EX_20230810_113706.jpeg,Timber,Beam,Timber,,No,No railings,5.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/83146/6702__MI_20210716_084500.jpg,True,83146,337,Boardwalk < 1.2m High,6 feet wide 50 Meters long,6702,MI_20210716_084500.jpg,Timber,Beam,Timber,,,No railings,10.0,,,Timber,,2.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/83146/6697__MI_20210716_084303.jpg,True,83146,337,Boardwalk < 1.2m High,6 feet wide 50 Meters long,6697,MI_20210716_084303.jpg,Timber,Beam,Timber,,,No railings,10.0,,,Timber,,2.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/83146/82704__AST_EX_20250525_120025.jpeg,True,83146,337,Boardwalk < 1.2m High,6 feet wide 50 Meters long,82704,AST_EX_20250525_120025.jpeg,Timber,Beam,Timber,,,No railings,10.0,,,Timber,,2.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/83146/6700__MI_20210716_084510.jpg,True,83146,337,Boardwalk < 1.2m High,6 feet wide 50 Meters long,6700,MI_20210716_084510.jpg,Timber,Beam,Timber,,,No railings,10.0,,,Timber,,2.0,True,short (<20m),wide (>1.5m),,
