image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/337/61735/65772__AST_EX_20230810_114109.jpeg,True,61735,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65772,AST_EX_20230810_114109.jpeg,Timber,Beam,Timber,,No,No railings,7.0,,,,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61736/65771__AST_EX_20230810_114313.jpeg,True,61736,337,Boardwalk < 1.2m High,Lower Flume Trail boardwalk,65771,AST_EX_20230810_114313.jpeg,Timber,Beam,Timber,,No,No railings,10.0,,,,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61742/65776__AST_EX_20230810_105132.jpeg,True,61742,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65776,AST_EX_20230810_105132.jpeg,Timber,Beam,Timber,,No,No railings,5.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61734/65775__AST_EX_20230810_113753.jpeg,True,61734,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65775,AST_EX_20230810_113753.jpeg,Timber,Beam,Timber,,No,No railings,3.0,,,,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/61742/65777__AST_EX_20230810_104803.jpeg,True,61742,337,Boardwalk < 1.2m High,Lower Flume trail boardwalk,65777,AST_EX_20230810_104803.jpeg,Timber,Beam,Timber,,No,No railings,5.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/83458/7920__AST_IM_20210723_112048.jpeg,True,83458,337,Boardwalk < 1.2m High,,7920,AST_IM_20210723_112048.jpeg,,Beam,Timber,,,No railings,8.0,,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/85171/11471__AST_IM_20210804_124101.jpeg,True,85171,337,Boardwalk < 1.2m High,Ray Farm; Specifications: 4M X 2M ; Comments: BRIDGES NEED REPLACEMENT,11471,AST_IM_20210804_124101.jpeg,Timber,Truss,Timber,,No,No railings,4.0,Timber/Wood,,Timber,,2.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/86083/13249__AST_IM_20210811_143342.jpeg,True,86083,337,Boardwalk < 1.2m High,5m log bridge,13249,AST_IM_20210811_143342.jpeg,Timber,Beam,,,,No railings,5.0,,,Timber,,,True,short (<20m),,,
data/citywide/images/337/86099/13234__AST_IM_20210811_144732.jpeg,True,86099,337,Boardwalk < 1.2m High,Fallen log bridge,13234,AST_IM_20210811_144732.jpeg,Timber,Beam,,,,No railings,,,,Timber,,,False,,,,
data/citywide/images/337/86152/13176__AST_IM_20210811_153215.jpeg,True,86152,337,Boardwalk < 1.2m High,12m log bridge,13176,AST_IM_20210811_153215.jpeg,Timber,Beam,,,,No railings,12.0,,,Timber,,,True,short (<20m),,,
data/citywide/images/337/87575/17600__AST_IM_20210818_101024.jpeg,True,87575,337,Boardwalk < 1.2m High,Section 9; Pressure treated boards on log stringers. Gabion mid span.,17600,AST_IM_20210818_101024.jpeg,Timber,Beam,Timber,,No,No railings,10.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/87575/77510__Photo_2024-08-30__09_01_33.jpg,True,87575,337,Boardwalk < 1.2m High,Section 9; Pressure treated boards on log stringers. Gabion mid span.,77510,"Photo 2024-08-30, 09 01 33.jpg",Timber,Beam,Timber,,No,No railings,10.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/88097/18830__AST_IM_20210826_140829.jpeg,True,88097,337,Boardwalk < 1.2m High,,18830,AST_IM_20210826_140829.jpeg,Timber,Beam,Timber,,,No railings,3.0,,,Timber,,,True,short (<20m),,,
data/citywide/images/337/89446/22161__AST_IM_20210918_122548.jpeg,True,89446,337,Boardwalk < 1.2m High,Good shape. 1-16 ft 6x6 stringer needs replacing.,22161,AST_IM_20210918_122548.jpeg,Timber,Beam,Timber,,No,No railings,5.2,,,Timber,,1.15,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/89446/22163__AST_IM_20210918_122605.jpeg,True,89446,337,Boardwalk < 1.2m High,Good shape. 1-16 ft 6x6 stringer needs replacing.,22163,AST_IM_20210918_122605.jpeg,Timber,Beam,Timber,,No,No railings,5.2,,,Timber,,1.15,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/89574/22592__AST_IM_20210919_103527.jpeg,True,89574,337,Boardwalk < 1.2m High,Good shape needs hand rail.,22592,AST_IM_20210919_103527.jpeg,Timber,Beam,Timber,,No,No railings,3.5,,,Timber,,1.15,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/89575/22591__AST_IM_20210919_103632.jpeg,True,89575,337,Boardwalk < 1.2m High,Good shape needs handrail,22591,AST_IM_20210919_103632.jpeg,Timber,Beam,Timber,,No,No railings,2.5,,,Timber,,1.15,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/89577/22579__AST_IM_20210919_110007.jpeg,True,89577,337,Boardwalk < 1.2m High,Good shape,22579,AST_IM_20210919_110007.jpeg,Timber,Beam,Timber,,No,No railings,4.6,,,Timber,,1.15,True,short (<20m),standard (0.9-1.5m),,
data/citywide/images/337/89579/22588__AST_IM_20210919_103726.jpeg,True,89579,337,Boardwalk < 1.2m High,Good shape needs handrail,22588,AST_IM_20210919_103726.jpeg,Timber,Beam,Timber,,No,No railings,3.4,,,Timber,,1.15,True,short (<20m),standard (0.9-1.5m),,
