image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/337/122831/75885__AST_IM_20241024_104750.jpeg,True,122831,337,Boardwalk < 1.2m High,Nemo trail boardwalk,75885,AST_IM_20241024_104750.jpeg,,,Timber,0.5,No,No railings,2.0,,,Timber,,0.3,True,short (<20m),narrow (<0.9m),medium (0.5-1.2m),
data/citywide/images/337/122831/75891__AST_IM_20241024_104743.jpeg,True,122831,337,Boardwalk < 1.2m High,Nemo trail boardwalk,75891,AST_IM_20241024_104743.jpeg,,,Timber,0.5,No,No railings,2.0,,,Timber,,0.3,True,short (<20m),narrow (<0.9m),medium (0.5-1.2m),
data/citywide/images/337/126129/83305__AST_IM_20250606_135934.jpeg,True,126129,337,Boardwalk < 1.2m High,12 foot long boardwalk,83305,AST_IM_20250606_135934.jpeg,,,Timber,0.25,No,No railings,3.7,,,Timber,,1.2,True,short (<20m),standard (0.9-1.5m),low (<0.5m),
data/citywide/images/337/126159/83432__Picture1.png,True,126159,337,Boardwalk < 1.2m High,"Boardwalk on Coal Creek trail from Roland Neavefts parking lot to access Birch Bluff trail. Location needs to be changed to 51.839037, -120.048908",83432,Picture1.png,,,Timber,1.0,Yes,No railings,12.0,,,Timber,,2.0,True,short (<20m),wide (>1.5m),medium (0.5-1.2m),
data/citywide/images/337/126159/87204__AST_EX_20250827_075635.jpeg,True,126159,337,Boardwalk < 1.2m High,"Boardwalk on Coal Creek trail from Roland Neavefts parking lot to access Birch Bluff trail. Location needs to be changed to 51.839037, -120.048908",87204,AST_EX_20250827_075635.jpeg,,,Timber,1.0,Yes,No railings,12.0,,,Timber,,2.0,True,short (<20m),wide (>1.5m),medium (0.5-1.2m),
data/citywide/images/337/126335/84055__AST_IM_20250616_110404.jpeg,True,126335,337,Boardwalk < 1.2m High,,84055,AST_IM_20250616_110404.jpeg,,,Timber,0.3,No,No railings,3.0,,,Timber,,1.0,True,short (<20m),standard (0.9-1.5m),low (<0.5m),
data/citywide/images/337/126687/85314__AST_IM_20250720_153310.jpeg,True,126687,337,Boardwalk < 1.2m High,16ft x 4ft boardwalk,85314,AST_IM_20250720_153310.jpeg,,,Timber,0.5,No,No railings,,,,Timber,,,False,,,medium (0.5-1.2m),
data/citywide/images/337/126690/85317__AST_IM_20250720_152450.jpeg,True,126690,337,Boardwalk < 1.2m High,6ft x 4ft boardwalk,85317,AST_IM_20250720_152450.jpeg,,,Timber,0.5,No,No railings,,,,Timber,,,False,,,medium (0.5-1.2m),
data/citywide/images/337/126701/85337__AST_IM_20250723_133216.jpeg,True,126701,337,Boardwalk < 1.2m High,"Tree has fallen on boardwalk, itfts rotten and completely broken",85337,AST_IM_20250723_133216.jpeg,,,,0.1,,No railings,,,,Timber,,1.0,,,standard (0.9-1.5m),low (<0.5m),
data/citywide/images/337/126706/85362__AST_IM_20250723_114831.jpeg,True,126706,337,Boardwalk < 1.2m High,8ft x 4ft boardwalk,85362,AST_IM_20250723_114831.jpeg,,,Timber,0.5,No,No railings,,,,Timber,,,False,,,medium (0.5-1.2m),
