image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/337/48117/86997__AST_EX_20250818_114301.jpeg,True,48117,337,Boardwalk < 1.2m High,Item description: PRESSURE TREATED WOOD UNIT; Specifications: 100 FT3 FT WIDE ; Comments: ELEVATED WALKWAY TO THE PIT TOILET,86997,AST_EX_20250818_114301.jpeg,,,Timber,,No,No railings,120.0,Timber/Wood,,Timber,,1.0,True,long (>100m),standard (0.9-1.5m),,
data/citywide/images/337/47664/86079__AST_EX_20250803_081025.jpeg,True,47664,337,Boardwalk < 1.2m High,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86079,AST_EX_20250803_081025.jpeg,,,Timber,,No,No railings,200.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/46935/59882__IMG_1070.JPG,True,46935,337,Boardwalk < 1.2m High,8' wide wood decked boardwalk with log stringers,59882,IMG_1070.JPG,,,Timber,,No,No railings,15.0,Timber/Wood,,Timber,,3.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/47664/86081__AST_EX_20250803_081016.jpeg,True,47664,337,Boardwalk < 1.2m High,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86081,AST_EX_20250803_081016.jpeg,,,Timber,,No,No railings,200.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/48119/13815__MI_20210809_144926.jpg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,13815,MI_20210809_144926.jpg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/47664/86084__AST_EX_20250803_080930.jpeg,True,47664,337,Boardwalk < 1.2m High,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86084,AST_EX_20250803_080930.jpeg,,,Timber,,No,No railings,200.0,Timber/Wood,,Timber,,,True,long (>100m),,,
data/citywide/images/337/48119/86267__AST_EX_20250807_142035.jpeg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,86267,AST_EX_20250807_142035.jpeg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48119/86268__AST_EX_20250807_142000.jpeg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,86268,AST_EX_20250807_142000.jpeg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48121/86240__AST_EX_20250808_133154.jpeg,True,48121,337,Boardwalk < 1.2m High,Isaac River Trail Type Ii,86240,AST_EX_20250808_133154.jpeg,,,Timber,,No,No railings,6.0,Timber/Wood,,Timber,,,True,short (<20m),,,
data/citywide/images/337/48637/27383__AST_EX_20211013_101432.jpeg,True,48637,337,Boardwalk < 1.2m High,Cape Scott Hiking Trail; Item description: FISHERMANS BOARDWALK;,27383,AST_EX_20211013_101432.jpeg,,,Timber,,No,No railings,18.0,Timber/Wood,,Timber,,,True,short (<20m),,,
