image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/356/47049/43882__AST_EX_20220601_110955.jpeg,True,47049,356,Stairs,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",43882,AST_EX_20220601_110955.jpeg,,,,,,1 railing,,Rock/Stone,,,At-Grade,,False,,,,
data/citywide/images/356/47049/75505__AST_EX_20241022_111626.jpeg,True,47049,356,Stairs,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",75505,AST_EX_20241022_111626.jpeg,,,,,,1 railing,,Rock/Stone,,,At-Grade,,False,,,,
data/citywide/images/356/47050/75503__AST_EX_20241022_112733.jpeg,True,47050,356,Stairs,"Bamberton Day Use; STAIRS:(AT BOTTOM OF PATH @ PARKIN-LOT PICNIC AREA; 16 RISER IN TOTAL ON TWO-WAY STAIRS,UP &DOWN, MORTARED ROCK SLATE. ; concrete",75503,AST_EX_20241022_112733.jpeg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47051/43909__AST_EX_20220601_103717.jpeg,True,47051,356,Stairs,Bamberton Campground; (TO C/S # 19); 14 RISER CONC. STAIRS DOWN TO C/S #19.; concrete,43909,AST_EX_20220601_103717.jpeg,,,,,,1 railing,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47051/71367__AST_EX_20240725_124259.jpeg,True,47051,356,Stairs,Bamberton Campground; (TO C/S # 19); 14 RISER CONC. STAIRS DOWN TO C/S #19.; concrete,71367,AST_EX_20240725_124259.jpeg,,,,,,1 railing,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47052/43918__AST_EX_20220601_103822.jpeg,True,47052,356,Stairs,Bamberton Campground; (DOWN TO C/S #17); 12 RISER CONC. STAIRS. ; concrete,43918,AST_EX_20220601_103822.jpeg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47052/75507__AST_EX_20241022_114314.jpeg,True,47052,356,Stairs,Bamberton Campground; (DOWN TO C/S #17); 12 RISER CONC. STAIRS. ; concrete,75507,AST_EX_20241022_114314.jpeg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47053/43873__MI_20220601_102208.jpg,True,47053,356,Stairs,Bamberton Campground; (C/S 9); concrete,43873,MI_20220601_102208.jpg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47053/71435__AST_EX_20240725_113728.jpeg,True,47053,356,Stairs,Bamberton Campground; (C/S 9); concrete,71435,AST_EX_20240725_113728.jpeg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47054/43914__AST_EX_20220601_104524.jpeg,True,47054,356,Stairs,Bamberton Campground; (C/S 41); boxsteps,43914,AST_EX_20220601_104524.jpeg,,,,,,No railings,,Box Step,,,At-Grade,,False,,,,
