image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/356/47049/43882__AST_EX_20220601_110955.jpeg,True,47049,356,Stairs,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",43882,AST_EX_20220601_110955.jpeg,,,,,,1 railing,,Rock/Stone,,,At-Grade,,False,,,,
data/citywide/images/356/47049/75505__AST_EX_20241022_111626.jpeg,True,47049,356,Stairs,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",75505,AST_EX_20241022_111626.jpeg,,,,,,1 railing,,Rock/Stone,,,At-Grade,,False,,,,
data/citywide/images/356/47050/75503__AST_EX_20241022_112733.jpeg,True,47050,356,Stairs,"Bamberton Day Use; STAIRS:(AT BOTTOM OF PATH @ PARKIN-LOT PICNIC AREA; 16 RISER IN TOTAL ON TWO-WAY STAIRS,UP &DOWN, MORTARED ROCK SLATE. ; concrete",75503,AST_EX_20241022_112733.jpeg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47053/43873__MI_20220601_102208.jpg,True,47053,356,Stairs,Bamberton Campground; (C/S 9); concrete,43873,MI_20220601_102208.jpg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47053/71435__AST_EX_20240725_113728.jpeg,True,47053,356,Stairs,Bamberton Campground; (C/S 9); concrete,71435,AST_EX_20240725_113728.jpeg,,,,,,No railings,,Concrete,,,At-Grade,,False,,,,
data/citywide/images/356/47054/43914__AST_EX_20220601_104524.jpeg,True,47054,356,Stairs,Bamberton Campground; (C/S 41); boxsteps,43914,AST_EX_20220601_104524.jpeg,,,,,,No railings,,Box Step,,,At-Grade,,False,,,,
data/citywide/images/356/47054/71343__AST_EX_20240725_135329.jpeg,True,47054,356,Stairs,Bamberton Campground; (C/S 41); boxsteps,71343,AST_EX_20240725_135329.jpeg,,,,,,No railings,,Box Step,,,At-Grade,,False,,,,
data/citywide/images/356/47184/34371__IMG_8323.JPG,True,47184,356,Stairs,"Steps And Railings Ancored With Concrete; Steps 4X 12"" Pt Railing 2X 6"" Pt Wood Posts 4X 6"" Pt ; 220 Feet Of Stairs With 9 Flat Landings; wood staircase",34371,IMG_8323.JPG,,,,,,1 railing,,Timber/Wood,,,Elevated,,False,,,,
data/citywide/images/356/48269/21402__AST_EX_20210911_135039.jpeg,True,48269,356,Stairs,Boyle Point Day Use; Stairs appear to lead into seasonal streambed/access road from pit toilet.; boxsteps,21402,AST_EX_20210911_135039.jpeg,,,,,,No railings,,Box Step,,,At-Grade,,False,,,,
data/citywide/images/356/48347/10724__AST_EX_20210805_145415.jpeg,True,48347,356,Stairs,Bridal Veil Falls Day Use; 52 steps on woodland trail; boxsteps,10724,AST_EX_20210805_145415.jpeg,,,,,,No railings,,Box Step,,,At-Grade,,False,,,,
