image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/356/51695/34064__IMG_9137.JPG,True,51695,356,Stairs,Ellison Service Area,34064,IMG_9137.JPG,,,,,,No railings,5.0,Concrete,8.0,,At-Grade,,True,medium (5-20m),,,few (<10)
data/citywide/images/356/91434/25852__AST_IM_20211006_115537.jpeg,True,91434,356,Stairs,Poor.; wood staircase,25852,AST_IM_20211006_115537.jpeg,,,,,,1 railing,,Timber/Wood,4.0,,Elevated,,False,,,,few (<10)
data/citywide/images/356/91434/25856__AST_IM_20211006_115410.jpeg,True,91434,356,Stairs,Poor.; wood staircase,25856,AST_IM_20211006_115410.jpeg,,,,,,1 railing,,Timber/Wood,4.0,,Elevated,,False,,,,few (<10)
data/citywide/images/356/91434/25857__AST_IM_20211006_115516.jpeg,True,91434,356,Stairs,Poor.; wood staircase,25857,AST_IM_20211006_115516.jpeg,,,,,,1 railing,,Timber/Wood,4.0,,Elevated,,False,,,,few (<10)
data/citywide/images/356/91434/25858__AST_IM_20211006_115734.jpeg,True,91434,356,Stairs,Poor.; wood staircase,25858,AST_IM_20211006_115734.jpeg,,,,,,1 railing,,Timber/Wood,4.0,,Elevated,,False,,,,few (<10)
data/citywide/images/356/91434/25860__AST_IM_20211006_115525.jpeg,True,91434,356,Stairs,Poor.; wood staircase,25860,AST_IM_20211006_115525.jpeg,,,,,,1 railing,,Timber/Wood,4.0,,Elevated,,False,,,,few (<10)
data/citywide/images/356/94176/33067__AST_IM_20211126_124251.jpeg,True,94176,356,Stairs,Stairs near camp at Boat Bay. They are sturdy but some steps are rotting and the railing is not up to BC Parks standard and is not fully secure.; wood staircase,33067,AST_IM_20211126_124251.jpeg,,,,,,1 railing,,Timber/Wood,10.0,,Elevated,,False,,,,medium (10-20)
data/citywide/images/356/101380/45407__AST_IM_20220608_155003.jpeg,True,101380,356,Stairs,Good 70. Needs refinishing. Staircase to Canyon viewpoint. 12 risers; wood staircase,45407,AST_IM_20220608_155003.jpeg,,,,,,2 railings,,Timber/Wood,10.0,,Elevated,,False,,,,medium (10-20)
data/citywide/images/356/101396/45497__AST_IM_20220608_123039.jpeg,True,101396,356,Stairs,"Volunteer built wooden staircase leading to beach, 1m wide, 2.5m long, railing; wood staircase",45497,AST_IM_20220608_123039.jpeg,,,,,,1 railing,,Timber/Wood,8.0,,Elevated,,False,,,,few (<10)
data/citywide/images/356/102439/46608__AST_IM_20220615_130216.jpeg,True,102439,356,Stairs,"Wooden staircase, 22 steps, 5m long x 3m high, no handrail,; wood step",46608,AST_IM_20220615_130216.jpeg,,,,,,No railings,,Timber/Wood,10.0,,Elevated,,False,,,,medium (10-20)
data/citywide/images/356/102839/47369__AST_IM_20220617_133632.jpeg,True,102839,356,Stairs,Stairs at Falls Lake trailhead | 13 wooden open stairs; wood step,47369,AST_IM_20220617_133632.jpeg,,,,,,No railings,,Timber/Wood,4.0,,At-Grade,,False,,,,few (<10)
data/citywide/images/356/102839/85476__AST_EX_20250727_115358.jpeg,True,102839,356,Stairs,Stairs at Falls Lake trailhead | 13 wooden open stairs; wood step,85476,AST_EX_20250727_115358.jpeg,,,,,,No railings,,Timber/Wood,4.0,,At-Grade,,False,,,,few (<10)
data/citywide/images/356/105458/51321__AST_IM_20220702_104135.jpeg,True,105458,356,Stairs,"wood stairs 5m long, 1m wide, hand rail; wood staircase",51321,AST_IM_20220702_104135.jpeg,,,,,,1 railing,,Timber/Wood,22.0,,Elevated,,False,,,,many (>20)
data/citywide/images/356/105458/85439__AST_EX_20250726_111513.jpeg,True,105458,356,Stairs,"wood stairs 5m long, 1m wide, hand rail; wood staircase",85439,AST_EX_20250726_111513.jpeg,,,,,,1 railing,,Timber/Wood,22.0,,Elevated,,False,,,,many (>20)
data/citywide/images/356/105458/85440__AST_EX_20250726_112058.jpeg,True,105458,356,Stairs,"wood stairs 5m long, 1m wide, hand rail; wood staircase",85440,AST_EX_20250726_112058.jpeg,,,,,,1 railing,,Timber/Wood,22.0,,Elevated,,False,,,,many (>20)
