image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/337/48117/86997__AST_EX_20250818_114301.jpeg,True,48117,337,Boardwalk < 1.2m High,Item description: PRESSURE TREATED WOOD UNIT; Specifications: 100 FT3 FT WIDE ; Comments: ELEVATED WALKWAY TO THE PIT TOILET,86997,AST_EX_20250818_114301.jpeg,,,Timber,,No,No railings,120.0,Timber/Wood,,Timber,,1.0,True,long (>100m),standard (0.9-1.5m),,
data/citywide/images/337/46935/59882__IMG_1070.JPG,True,46935,337,Boardwalk < 1.2m High,8' wide wood decked boardwalk with log stringers,59882,IMG_1070.JPG,,,Timber,,No,No railings,15.0,Timber/Wood,,Timber,,3.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48119/13815__MI_20210809_144926.jpg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,13815,MI_20210809_144926.jpg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48119/86267__AST_EX_20250807_142035.jpeg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,86267,AST_EX_20250807_142035.jpeg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48119/86268__AST_EX_20250807_142000.jpeg,True,48119,337,Boardwalk < 1.2m High,Indian Point - Isaac Lake,86268,AST_EX_20250807_142000.jpeg,,,Timber,,No,No railings,8.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48120/12529__MI_20210809_122601.jpg,True,48120,337,Boardwalk < 1.2m High,Kibbee Lk - Indian Point,12529,MI_20210809_122601.jpg,,,Timber,,No,No railings,10.0,Timber/Wood,,Timber,,1.5,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/48514/41791__lake_trail_boardwalk.JPG,True,48514,337,Boardwalk < 1.2m High,"Short wood boardwalk over muddy/wet section of lake trail, 2"" X 4"" wood decking 3m wide",41791,lake trail boardwalk.JPG,,,Timber,,No,No railings,10.668,Timber/Wood,,Timber,,3.0,True,short (<20m),wide (>1.5m),,
data/citywide/images/337/52128/59838__AST_EX_20220810_113210.jpeg,True,52128,337,Boardwalk < 1.2m High,"Flores Island Hiking Trail; Additional notes: 2430mm span, 250mm width x 900mm high, constructed by 4 x 4 wooden stringers w/ 2x 6 decking;",59838,AST_EX_20220810_113210.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/337/51942/21399__AST_EX_20210911_124304.jpeg,True,51942,337,Boardwalk < 1.2m High,"Fillongley Campground; Additional notes: Wood edging along trails, including raised flat surface lined by stacked wood.;",21399,AST_EX_20210911_124304.jpeg,,,Timber,,No,No railings,112.0,Timber/Wood,,Timber,,1.0,True,long (>100m),standard (0.9-1.5m),,
data/citywide/images/337/52244/40594__AST_EX_20220510_133402.jpeg,True,52244,337,Boardwalk < 1.2m High,French Beach Group Site Boardwalk at Beach,40594,AST_EX_20220510_133402.jpeg,,,Timber,,No,No railings,125.0,Timber/Wood,,Timber,,1.0,True,long (>100m),standard (0.9-1.5m),,
