,File Name,Asset ID,Description,Decking Material,Fall Height (m),Has Edge Guard,Has Pedestrian Railing,Length (m),length measure by staff,Structure Material,Width (m)
0,AST_EX_20210725_102345.jpeg,46615,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,Timber,-1.0,No,No railings,2600.0,True,Timber,0.0
1,AST_EX_20210725_102426.jpeg,46615,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,Timber,-1.0,No,No railings,2600.0,True,Timber,0.0
2,IMG_2182.JPG,46933,"2""x8""x8' decking on 6""x6"" sills, # sills & # sections?",Timber,-1.0,No,No railings,150.0,True,Timber,0.5
3,IMG_1070.JPG,46935,8' wide wood decked boardwalk with log stringers,Timber,-1.0,No,No railings,15.0,True,Timber,3.0
4,AST_EX_20250803_080930.jpeg,47664,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,Timber,-1.0,No,No railings,200.0,True,Timber,0.0
5,AST_EX_20250803_081016.jpeg,47664,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,Timber,-1.0,No,No railings,200.0,True,Timber,0.0
6,AST_EX_20250803_081025.jpeg,47664,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,Timber,-1.0,No,No railings,200.0,True,Timber,0.0
7,AST_EX_20250818_114301.jpeg,48117,Item description: PRESSURE TREATED WOOD UNIT; Specifications: 100 FT3 FT WIDE ; Comments: ELEVATED WALKWAY TO THE PIT TOILET,Timber,-1.0,No,No railings,120.0,True,Timber,1.0
8,AST_EX_20250807_142000.jpeg,48119,Indian Point - Isaac Lake,Timber,-1.0,No,No railings,8.0,True,Timber,1.5
9,AST_EX_20250807_142035.jpeg,48119,Indian Point - Isaac Lake,Timber,-1.0,No,No railings,8.0,True,Timber,1.5
10,MI_20210809_144926.jpg,48119,Indian Point - Isaac Lake,Timber,-1.0,No,No railings,8.0,True,Timber,1.5
11,MI_20210809_122601.jpg,48120,Kibbee Lk - Indian Point,Timber,-1.0,No,No railings,10.0,True,Timber,1.5
12,AST_EX_20250808_133154.jpeg,48121,Isaac River Trail Type Ii,Timber,-1.0,No,No railings,6.0,True,Timber,0.0
13,lake trail boardwalk.JPG,48514,"Short wood boardwalk over muddy/wet section of lake trail, 2"" X 4"" wood decking 3m wide",Timber,-1.0,No,No railings,10.668,True,Timber,3.0
14,AST_EX_20211013_101620.jpeg,48634,"Cape Scott Backcountry; Item description: BOARDWALK: (NELS BIGHT TO DONALDSONS FARM); Specifications: elevated WOOD BOARD -WALK, NELS BIGHT TO DONALDSONS FARM. ; Comments: ALL MATERIALS flown in",Timber,-1.0,No,No railings,2300.0,True,Timber,0.0
15,AST_EX_20211013_101432.jpeg,48637,Cape Scott Hiking Trail; Item description: FISHERMANS BOARDWALK;,Timber,-1.0,No,No railings,18.0,True,Timber,0.0
16,AST_EX_20210811_144952.jpeg,48933,Boardwalk,Timber,-1.0,No,No railings,104.0,True,Timber,0.0
17,AST_EX_20210811_144911.jpeg,48934,Boardwalk,Timber,-1.0,No,No railings,62.0,True,Timber,0.0
18,AST_EX_20210811_144938.jpeg,48934,Boardwalk,Timber,-1.0,No,No railings,62.0,True,Timber,0.0
19,AST_EX_20210811_144721.jpeg,48935,Boardwalk,Timber,-1.0,No,No railings,42.0,True,Timber,0.0
20,AST_EX_20210811_144036.jpeg,48936,Boardwalk,Timber,-1.0,No,No railings,22.0,True,Timber,0.0
21,AST_EX_20220804_124755.jpeg,49689,HOLT CREEK TO RIVERSIDE PARK,Timber,-1.0,No,No railings,120.0,True,Timber,0.0
22,AST_EX_20220511_124829.jpeg,50513,Dahl Lake Day Use,Timber,-1.0,No,No railings,3.0,True,Timber,0.0
23,AST_EX_20220511_124819.jpeg,50513,Dahl Lake Day Use,Timber,-1.0,No,No railings,3.0,True,Timber,0.0
24,PXL_20250516_175632212.jpg,51254,170 M; 70 METERS OF TIMBER AND PLANK BOARDWALK,Timber,-1.0,No,No railings,170.0,True,Timber,0.0
25,IMG_4018.JPG,51254,170 M; 70 METERS OF TIMBER AND PLANK BOARDWALK,Timber,-1.0,No,No railings,170.0,True,Timber,0.0
26,MI_20240629_131154.jpg,51255,"in campground, 1M WIDE",Timber,-1.0,No,No railings,30.0,True,Timber,0.0
27,AST_EX_20240622_123326.jpeg,51256,5M Board Walk Located On Trail to Campsite,Timber,-1.0,No,No railings,20.0,True,Timber,0.0
28,AST_EX_20240622_123305.jpeg,51256,5M Board Walk Located On Trail to Campsite,Timber,-1.0,No,No railings,20.0,True,Timber,0.0
29,AST_EX_20240622_123341.jpeg,51256,5M Board Walk Located On Trail to Campsite,Timber,-1.0,No,No railings,20.0,True,Timber,0.0
30,AST_EX_20240623_084753.jpeg,51256,5M Board Walk Located On Trail to Campsite,Timber,-1.0,No,No railings,20.0,True,Timber,0.0
31,AST_EX_20240623_084827.jpeg,51256,5M Board Walk Located On Trail to Campsite,Timber,-1.0,No,No railings,20.0,True,Timber,0.0
32,AST_EX_20210921_134402.jpeg,51440,Echo Bay Marine Service Area; Additional notes: Condemned ; Item description: Walk way to Wharf ;,Timber,-1.0,No,No railings,10.0,True,Timber,0.0
33,AST_EX_20210617_094959.jpeg,51538,Quinsam R. Nature Trail; Additional notes: Y;,Timber,-1.0,No,No railings,29.0,True,Timber,0.0
34,AST_EX_20210826_112301.jpeg,51547,46.63m x m |,,-1.0,,No railings,100.0,True,,
35,AST_EX_20210826_112332.jpeg,51547,46.63m x m |,,-1.0,,No railings,100.0,True,,
36,AST_EX_20210826_112407.jpeg,51547,46.63m x m |,,-1.0,,No railings,100.0,True,,
37,AST_EX_20210826_112435.jpeg,51547,46.63m x m |,,-1.0,,No railings,100.0,True,,
38,AST_EX_20210826_112642.jpeg,51547,46.63m x m |,,-1.0,,No railings,100.0,True,,
39,AST_EX_20210826_113015.jpeg,51547,46.63m x m |,,-1.0,,No railings,100.0,True,,
40,AST_EX_20210923_131155.jpeg,51602,West Elk Pass Trail; Specifications: VARIOUS LOCATIONS ; Comments: BOARDWALK WAS INTRODUCED TO LOCATIONS WHERE YEAR ROUND WATER EXISTS.,Timber,-1.0,No,No - This option is no longer available.,479.0,True,Timber,0.0
41,AST_EX_20250826_101822.jpeg,51603,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,Timber,-1.0,No,No - This option is no longer available.,150.0,True,Timber,0.0
42,AST_EX_20210923_130140.jpeg,51603,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,Timber,-1.0,No,No - This option is no longer available.,150.0,True,Timber,0.0
43,AST_EX_20210923_125846.jpeg,51603,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,Timber,-1.0,No,No - This option is no longer available.,150.0,True,Timber,0.0
44,AST_EX_20210923_125920.jpeg,51603,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,Timber,-1.0,No,No - This option is no longer available.,150.0,True,Timber,0.0
45,AST_EX_20210923_125900.jpeg,51603,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,Timber,-1.0,No,No - This option is no longer available.,150.0,True,Timber,0.0
46,AST_EX_20210911_124304.jpeg,51942,"Fillongley Campground; Additional notes: Wood edging along trails, including raised flat surface lined by stacked wood.;",Timber,-1.0,No,No railings,112.0,True,Timber,1.0
47,AST_EX_20220810_113210.jpeg,52128,"Flores Island Hiking Trail; Additional notes: 2430mm span, 250mm width x 900mm high, constructed by 4 x 4 wooden stringers w/ 2x 6 decking;",TBD,-1.0,No,No railings,0.0,False,TBD,1.0
48,AST_EX_20220810_113217.jpeg,52128,"Flores Island Hiking Trail; Additional notes: 2430mm span, 250mm width x 900mm high, constructed by 4 x 4 wooden stringers w/ 2x 6 decking;",TBD,-1.0,No,No railings,0.0,False,TBD,1.0
49,AST_EX_20220510_133402.jpeg,52244,French Beach Group Site Boardwalk at Beach,Timber,-1.0,No,No railings,125.0,True,Timber,1.0
50,AST_EX_20220510_112627.jpeg,52245,Boardwalk on Path from Beach to Campground,Timber,-1.0,No,No railings,15.0,True,Timber,2.0
51,AST_EX_20250914_165603.jpeg,52469,replaced with wood bridge; SPLIT LOG 4M LONG;,Timber,-1.0,No,No railings,4.0,True,Timber,0.0
52,20251112_103203.jpg,52551,25M WOOD Boardwalk,Timber,-1.0,Yes,TBD,25.0,True,Timber,1.0
53,20251112_103049.jpg,52551,25M WOOD Boardwalk,Timber,-1.0,Yes,TBD,25.0,True,Timber,1.0
54,20220510_131639.jpg,52551,25M WOOD Boardwalk,Timber,-1.0,Yes,TBD,25.0,True,Timber,1.0
55,AST_EX_20220609_114126.jpeg,53103,Gordon Bay Day Use; Item description: ON POINT TRAIL;,Timber,-1.0,No,No railings,25.0,True,Timber,0.0
56,AST_EX_20250719_114851.jpeg,53554,"made of red cedar; 29 ft. long x 3 ft. wide; using 6""x6"" stringers and posts; and 6"" wide x 3"" thick x 3 ft. long planks.;",TBD,-1.0,No,No railings,5.0,True,TBD,1.0
57,AST_EX_20250720_155517.jpeg,53556,"Wood; Specifications: 3 ft. wideand 82 m long. Red cedar planks are 2"" thick x 10"" x 36"".; Comments: Universal Access boardwalk to the Herman Lake viewing platform",Timber,-1.0,No,No railings,82.0,True,Timber,0.0
58,AST_EX_20221004_092847.jpeg,53556,"Wood; Specifications: 3 ft. wideand 82 m long. Red cedar planks are 2"" thick x 10"" x 36"".; Comments: Universal Access boardwalk to the Herman Lake viewing platform",Timber,-1.0,No,No railings,82.0,True,Timber,0.0
59,Inland boardwalk 2.png,53993,Toad Alley north of day use;,Timber,-1.0,Yes,No railings,42.0,True,Timber,1.4
60,Inland boardwalk 1.png,53993,Toad Alley north of day use;,Timber,-1.0,Yes,No railings,42.0,True,Timber,1.4
61,Inland Lake - Record Drawings - IFU - 20250311.pdf,53993,Toad Alley north of day use;,Timber,-1.0,Yes,No railings,42.0,True,Timber,1.4
62,AST_EX_20220827_135801.jpeg,53993,Toad Alley north of day use;,Timber,-1.0,Yes,No railings,42.0,True,Timber,1.4
63,20210529_120011.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
64,20210529_115955.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
65,20210529_120001.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
66,20210529_115758.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
67,20210529_115840.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
68,20210529_115742.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
69,20210529_115814.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
70,20210529_115833.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
71,20210529_115700.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
72,20210529_115518.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
73,20210529_115543.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
74,20210529_115604.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
75,20210529_115621.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
76,20210529_115258.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
77,20210529_115406.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
78,20210529_115422.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
79,20210529_115448.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
80,20210529_115456.jpg,54329,BOTANY LOOP board walks multiple pieces,Timber,-1.0,No,No railings,94.0,True,Timber,0.0
81,AST_EX_20220609_155504.jpeg,55466,Kokanee Cr. Visitor Centre Sit; Item description: SPAWING CHANNEL BOARDWALK; Specifications: APPROX 5 FT. WIDE C/W HAND RAILINGS. WOOD DECK 2 X 6 SUPPORTED BY POSTS ON CONCRETE FOOTINGS. ; Comments: SEE M.P.,Timber,-1.0,Yes,TBD,334.0,True,Steel,3.0
82,AST_EX_20220609_155542.jpeg,55466,Kokanee Cr. Visitor Centre Sit; Item description: SPAWING CHANNEL BOARDWALK; Specifications: APPROX 5 FT. WIDE C/W HAND RAILINGS. WOOD DECK 2 X 6 SUPPORTED BY POSTS ON CONCRETE FOOTINGS. ; Comments: SEE M.P.,Timber,-1.0,Yes,TBD,334.0,True,Steel,3.0
83,AST_EX_20220725_113846.jpeg,55643,Woodbury Glacier; Item description: BOARDWALK TO WATER AND OUTHOUSE; Comments: POOR-PUBLIC SAFETY HAZARD,Timber,-1.0,No,No railings,100.0,True,Timber,0.5
84,AST_EX_20220725_113102.jpeg,55645,Woodbury Creek Trail; Item description: TO WOODBURY CABIN AREA; Specifications: LOG TYPE BRIDGES #3 2 @ 8M EA. #4 3 @ 4M EA. #5 #1 -#2 ; Comments: FAIR TO POOR,Timber,-1.0,No,No railings,28.0,True,Timber,0.5
85,AST_EX_20220827_131100.jpeg,55646,Enterprise Creek Trail; Item description: TO CORE AREA; Specifications: LOG TYPE BRIDGES #2 1 @ 12M #3 2 @ 5M #4 1 @ 3M#1 ; Comments: FAIR TO POOR,Timber,-1.0,No,No railings,25.0,True,Timber,0.0
86,AST_EX_20220724_152740.jpeg,55648,Silver Spray Trail; Item description: TO SILVER SPRAY CABIN AREA; Specifications: LOG TYPE BRIDGES #3 1 @ 6M2 @ 3M EA.#1 -#2 ; Comments: FAIR TO POOR,Timber,-1.0,No,No railings,12.0,True,Timber,0.5
