attribute,target_column,target_file,task_type,strategy,splitter,fold,n_folds,prediction,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,train_majority_count,train_majority_share,accuracy,weighted_f1,macro_f1
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber,909,225,460,116,558,0.6138613861386139,0.5911111111111111,0.439205462445686,0.1857541899441341
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber,897,237,461,115,542,0.6042363433667781,0.6286919831223629,0.4853632408561247,0.1544041450777202
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber,931,203,461,115,570,0.6122448979591837,0.5960591133004927,0.44520464635407164,0.14938271604938272
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber,918,216,461,115,576,0.6274509803921569,0.5324074074074074,0.3699507664764462,0.17371601208459214
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,Timber,881,253,461,115,518,0.5879682179341658,0.6837944664031621,0.555382360036371,0.1624413145539906
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,1,5,Beam,933,233,491,123,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,2,5,Beam,933,233,490,124,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,3,5,Beam,933,233,491,123,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,4,5,Beam,932,234,493,121,788,0.8454935622317596,0.8418803418803419,0.7696075515101036,0.182830626450116
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,5,Beam,933,233,491,123,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber,2357,578,1484,372,2204,0.9350869749681799,0.9083044982698962,0.864659767165359,0.19038984587488667
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber,2326,609,1485,371,2156,0.9269131556319863,0.9408866995073891,0.9122302518066565,0.24238578680203046
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber,2338,597,1485,371,2165,0.9260051325919589,0.9447236180904522,0.9178710087907237,0.1943152454780362
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber,2376,559,1485,371,2212,0.930976430976431,0.924865831842576,0.8887651209342228,0.19219330855018588
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,Timber,2343,592,1485,371,2179,0.9300042680324371,0.9290540540540541,0.8948856912954987,0.24080560420315236
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,1,5,No,2069,518,1376,345,1857,0.8975350410826486,0.8957528957528957,0.8464956082064025,0.4725050916496945
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,2,5,No,2069,518,1377,344,1856,0.8970517158047366,0.8976833976833977,0.8492833772589622,0.47304170905391657
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,3,5,No,2070,517,1377,344,1857,0.8971014492753623,0.8974854932301741,0.8489974900281362,0.47298674821610603
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,4,5,No,2070,517,1377,344,1857,0.8971014492753623,0.8974854932301741,0.8489974900281362,0.47298674821610603
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,5,No,2070,517,1377,344,1857,0.8971014492753623,0.8974854932301741,0.8489974900281362,0.47298674821610603
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,1,5,No railings,2881,720,1984,496,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,2,5,No railings,2881,720,1984,496,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,3,5,No railings,2881,720,1985,495,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,4,5,No railings,2880,721,1983,497,2484,0.8625,0.8613037447988904,0.797123137883921,0.30849478390462
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,5,No railings,2881,720,1984,496,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber/Wood,1126,290,643,161,686,0.6092362344582594,0.603448275862069,0.45420837968112715,0.09408602150537634
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber/Wood,1119,297,643,161,675,0.6032171581769437,0.6262626262626263,0.4823389171215258,0.11002661934338953
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber/Wood,1131,285,643,161,668,0.5906277630415562,0.6771929824561403,0.5468545841591427,0.11536162582187688
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber/Wood,1130,286,643,161,693,0.6132743362831858,0.5874125874125874,0.43473706909830256,0.09251101321585903
