attribute,target_column,target_file,task_type,strategy,splitter,n_folds,n_labels,n_assets,prediction,train_majority_share_mean,train_majority_share_std,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,1134,576,Timber,0.6091523651581797,0.012957726043274938,0.6064128162689073,0.04960327194820192,0.4590212952337399,0.060821836567998465,0.16513967554196396,0.013185797597041048
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,1166,614,Beam,0.8447685945471022,0.00036248384232870915,0.8447709181614762,0.0014452881405671025,0.7736879540588827,0.0020402012743895525,0.18317077645281393,0.00017007500134895716
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,2935,1856,Timber,0.9297971924401986,0.003228394933192903,0.9295669403528736,0.012902067619340138,0.8956823679984922,0.018852336735292744,0.2120179581816583,0.024187234610873097
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,2587,1721,No,0.8971782209426944,0.00017944683275081683,0.8971785546253631,0.0007169384430005987,0.8485542911099546,0.0010352794553437788,0.4729014090703858,0.0001992987168543293
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,3601,2480,No railings,0.8622604998264493,0.00011975008677542753,0.8622607489597781,0.00047850208044386555,0.7984850302613479,0.0006809461887134826,0.30867882255273604,9.20193240580458e-05
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,5,1416,804,Timber/Wood,0.6079688531415572,0.010898755463689175,0.6066152323831807,0.045498098249760664,0.4590812881472588,0.05577625389527962,0.09640209376067568,0.015882930214356487
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,2739,1758,Timber,0.8422926824271141,0.00867037959814762,0.8425086592108524,0.03459127903162659,0.7708748435733019,0.048892434333630004,0.23480299465726948,0.04093686114665999
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,1038,613,At-Grade,0.5944123062647704,0.00044199709418680984,0.5944119286510591,0.001763797918873656,0.4432063750137226,0.002138927690722463,0.24853916076279853,0.0004628897389459213
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,239,122,medium (1.2-5m),0.35138160679796643,0.015137660622485923,0.3498199871783664,0.055019473545622734,0.18385461492532254,0.047854398444648276,0.09294835355602868,0.01450807242151189
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,2639,1744,short (<20m),0.32590760969769955,0.004952182834572819,0.3262960428283465,0.019961724131732965,0.16089169249594346,0.01729110020799873,0.04433598441587293,0.004753743854374285
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,52,29,few (<10),0.4419479228781554,0.0332759152965629,0.43963675213675213,0.1767281301880756,0.2892515455558934,0.1852673921705349,0.23657297613819353,0.09422869763155764
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,2755,1734,standard (0.9-1.5m),0.5557679513676772,0.007087010123794897,0.5564906741381007,0.028729531757431585,0.39835550527874664,0.03403962851892548,0.11394073867550676,0.018329749920218137
