attribute,_merge,prediction,n_labels_baseline,n_labels_dinov3,n_assets_baseline,n_assets_dinov3,n_features,accuracy_mean_baseline,accuracy_mean_dinov3,accuracy_mean_delta,weighted_f1_mean_baseline,weighted_f1_mean_dinov3,weighted_f1_mean_delta,macro_f1_mean_baseline,macro_f1_mean_dinov3,macro_f1_mean_delta,feature_file,dinov3_result_file
attr_structure_position,both,At-Grade,1038,594,613,594,768,0.5944119286510591,0.8804301381569577,0.2860182095058986,0.4432063750137226,0.8733003982615519,0.4300940232478293,0.2485391607627985,0.7029296970291141,0.45439053626631565,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_position_hist_gradient_boosting_classification_results.csv
attr_has_pedestrian_railing,both,No railings,3601,2355,2480,2355,768,0.8622607489597781,0.929511677282378,0.06725092832259993,0.7984850302613479,0.9219527627134748,0.12346773245212694,0.308678822552736,0.6563694248192941,0.34769060226655807,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_pedestrian_railing_hist_gradient_boosting_classification_results.csv
attr_material_frame_tank_body,both,Timber/Wood,1416,785,804,785,768,0.6066152323831807,0.7656050955414013,0.1589898631582206,0.4590812881472588,0.7418470286252882,0.2827657404780294,0.0964020937606756,0.4281927140920351,0.3317906203313595,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_material_frame_tank_body_hist_gradient_boosting_classification_results.csv
attr_structure_material,both,Timber,2739,1674,1758,1674,768,0.8425086592108524,0.916957726338368,0.07444906712751564,0.7708748435733019,0.8993960734007344,0.12852122982743241,0.2348029946572694,0.5244914517460717,0.2896884570888023,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_material_hist_gradient_boosting_classification_results.csv
fall_height_bin,both,medium (1.2-5m),239,122,122,122,768,0.3498199871783664,0.4666666666666666,0.11684667948830024,0.1838546149253225,0.4560709623709623,0.2722163474456398,0.0929483535560286,0.3773647516504659,0.2844163980944373,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_fall_height_bin_hist_gradient_boosting_classification_results.csv
width_bin,both,standard (0.9-1.5m),2755,1630,1734,1630,768,0.5564906741381007,0.7061349693251533,0.14964429518705258,0.3983555052787466,0.6801405645783365,0.2817850592995899,0.1139407386755067,0.3816549662662781,0.2677142275907714,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_width_bin_hist_gradient_boosting_classification_results.csv
attr_abutment_material,both,Timber,1134,573,576,573,768,0.6064128162689073,0.7416933638443937,0.13528054757548635,0.4590212952337399,0.7178687680275553,0.25884747279381537,0.1651396755419639,0.4169844199011648,0.2518447443592009,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_abutment_material_hist_gradient_boosting_classification_results.csv
length_bin,both,short (<20m),2639,1599,1744,1599,768,0.3262960428283465,0.5741202978056427,0.24782425497729615,0.1608916924959434,0.5262305138638705,0.36533882136792717,0.0443359844158729,0.2676386480297603,0.2233026636138874,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_length_bin_hist_gradient_boosting_classification_results.csv
attr_bridge_type,both,Beam,1166,612,614,612,768,0.8447709181614762,0.8742369718779155,0.02946605371643929,0.7736879540588827,0.8473671426831212,0.0736791886242385,0.1831707764528139,0.3847610243420162,0.2015902478892023,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_bridge_type_hist_gradient_boosting_classification_results.csv
attr_decking_material,both,Timber,2935,1774,1856,1774,768,0.9295669403528736,0.959409564733031,0.02984262438015739,0.8956823679984922,0.950580648186572,0.05489828018807974,0.2120179581816583,0.3984443513287871,0.18642639314712878,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_decking_material_hist_gradient_boosting_classification_results.csv
attr_has_edge_guard,both,No,2587,1616,1721,1616,768,0.8971785546253631,0.9189274930245002,0.021748938399137052,0.8485542911099546,0.9076222014914797,0.059067910381525035,0.4729014090703858,0.6355983767758062,0.16269696770542041,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_edge_guard_hist_gradient_boosting_classification_results.csv
steps_bin,both,few (<10),52,29,29,29,768,0.4396367521367521,0.3866666666666666,-0.05297008547008547,0.2892515455558934,0.2328571428571428,-0.056394402698750595,0.2365729761381935,0.2218253968253968,-0.014747579312796716,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_steps_bin_hist_gradient_boosting_classification_results.csv
