attribute,_merge,prediction,n_labels_baseline,n_labels_dinov3,n_assets_baseline,n_assets_dinov3,n_features,accuracy_mean_baseline,accuracy_mean_dinov3,accuracy_mean_delta,weighted_f1_mean_baseline,weighted_f1_mean_dinov3,weighted_f1_mean_delta,macro_f1_mean_baseline,macro_f1_mean_dinov3,macro_f1_mean_delta,feature_file,dinov3_result_file
attr_structure_position,both,At-Grade,1038,594,613,594,768,0.5944119286510591,0.8804301381569578,0.28601820950589874,0.4432063750137226,0.8771798860582527,0.4339735110445301,0.2485391607627985,0.7448335891787823,0.4962944284159838,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_position_linear_svm_classification_results.csv
attr_has_pedestrian_railing,both,No railings,3601,2355,2480,2355,768,0.8622607489597781,0.9125265392781317,0.05026579031835354,0.7984850302613479,0.910574603173437,0.1120895729120891,0.308678822552736,0.6305457851211418,0.3218669625684058,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_pedestrian_railing_linear_svm_classification_results.csv
fall_height_bin,both,medium (1.2-5m),239,122,122,122,768,0.3498199871783664,0.516,0.16618001282163364,0.1838546149253225,0.5160762385762385,0.332221623650916,0.0929483535560286,0.3665298392084106,0.273581485652382,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_fall_height_bin_linear_svm_classification_results.csv
attr_material_frame_tank_body,both,Timber/Wood,1416,785,804,785,768,0.6066152323831807,0.7426751592356688,0.13605992685248813,0.4590812881472588,0.7390618886551186,0.2799806005078598,0.0964020937606756,0.3660012852784249,0.2695991915177493,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_material_frame_tank_body_linear_svm_classification_results.csv
attr_bridge_type,both,Beam,1166,612,614,612,768,0.8447709181614762,0.856297481007597,0.011526562846120747,0.7736879540588827,0.8505677575364732,0.07687980347759049,0.1831707764528139,0.4482129869134398,0.2650422104606259,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_bridge_type_linear_svm_classification_results.csv
attr_structure_material,both,Timber,2739,1674,1758,1674,768,0.8425086592108524,0.8870605058539637,0.04455184664311129,0.7708748435733019,0.8971779443022587,0.12630310072895679,0.2348029946572694,0.4686980842185283,0.23389508956125893,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_material_linear_svm_classification_results.csv
attr_has_edge_guard,both,No,2587,1616,1721,1616,768,0.8971785546253631,0.9127374536559264,0.015558899030563289,0.8485542911099546,0.9125979663814652,0.06404367527151056,0.4729014090703858,0.6913928780912089,0.21849146902082306,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_edge_guard_linear_svm_classification_results.csv
width_bin,both,standard (0.9-1.5m),2755,1630,1734,1630,768,0.5564906741381007,0.6337423312883436,0.07725165715024285,0.3983555052787466,0.6321270304236488,0.23377152514490224,0.1139407386755067,0.3244667704518394,0.21052603177633272,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_width_bin_linear_svm_classification_results.csv
attr_abutment_material,both,Timber,1134,573,576,573,768,0.6064128162689073,0.7190846681922197,0.11267185192331242,0.4590212952337399,0.7069709773024009,0.24794968206866097,0.1651396755419639,0.3699627899752936,0.20482311443332968,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_abutment_material_linear_svm_classification_results.csv
length_bin,both,short (<20m),2639,1599,1744,1599,768,0.3262960428283465,0.4840673981191223,0.1577713552907758,0.1608916924959434,0.476155456168402,0.31526376367245856,0.0443359844158729,0.2374576139747958,0.19312162955892292,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_length_bin_linear_svm_classification_results.csv
steps_bin,both,few (<10),52,29,29,29,768,0.4396367521367521,0.4533333333333333,0.013696581196581237,0.2892515455558934,0.4588571428571429,0.16960559730124952,0.2365729761381935,0.4015873015873016,0.1650143254491081,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_steps_bin_linear_svm_classification_results.csv
attr_decking_material,both,Timber,2935,1774,1856,1774,768,0.9295669403528736,0.93911673430413,0.009549793951256436,0.8956823679984922,0.9444861699482846,0.04880380194979239,0.2120179581816583,0.3655075965989184,0.1534896384172601,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_decking_material_linear_svm_classification_results.csv
