attribute,_merge,prediction,n_labels_baseline,n_labels_dinov3,n_assets_baseline,n_assets_dinov3,n_features,accuracy_mean_baseline,accuracy_mean_dinov3,accuracy_mean_delta,weighted_f1_mean_baseline,weighted_f1_mean_dinov3,weighted_f1_mean_delta,macro_f1_mean_baseline,macro_f1_mean_dinov3,macro_f1_mean_delta,feature_file,dinov3_result_file
attr_structure_position,both,At-Grade,1038,594,613,594,768,0.5944119286510591,0.8535108958837773,0.2590989672327182,0.4432063750137226,0.834127101722695,0.3909207267089724,0.2485391607627985,0.5665286982161147,0.31798953745331626,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_position_random_forest_classification_results.csv
fall_height_bin,both,medium (1.2-5m),239,122,122,122,768,0.3498199871783664,0.4913333333333334,0.14151334615496702,0.1838546149253225,0.4598912938912939,0.2760366789659714,0.0929483535560286,0.4029947089947089,0.3100463554386803,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_fall_height_bin_random_forest_classification_results.csv
attr_material_frame_tank_body,both,Timber/Wood,1416,785,804,785,768,0.6066152323831807,0.7044585987261146,0.09784336634293389,0.4590812881472588,0.6424866985461908,0.183405410398932,0.0964020937606756,0.2953627146700858,0.1989606209094102,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_material_frame_tank_body_random_forest_classification_results.csv
attr_structure_material,both,Timber,2739,1674,1758,1674,768,0.8425086592108524,0.9115881669496826,0.0690795077388302,0.7708748435733019,0.8779710115183607,0.10709616794505872,0.2348029946572694,0.4245741029928885,0.1897711083356191,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_material_random_forest_classification_results.csv
attr_has_pedestrian_railing,both,No railings,3601,2355,2480,2355,768,0.8622607489597781,0.90828025477707,0.04601950581729186,0.7984850302613479,0.8789428078134973,0.08045777755214945,0.308678822552736,0.4721822051854819,0.1635033826327459,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_pedestrian_railing_random_forest_classification_results.csv
steps_bin,both,few (<10),52,29,29,29,768,0.4396367521367521,0.4533333333333333,0.013696581196581237,0.2892515455558934,0.4206349206349206,0.1313833750790272,0.2365729761381935,0.3871428571428571,0.15056988100466362,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_steps_bin_random_forest_classification_results.csv
length_bin,both,short (<20m),2639,1599,1744,1599,768,0.3262960428283465,0.5566065830721004,0.23031054024375391,0.1608916924959434,0.4558198625299311,0.29492817003398775,0.0443359844158729,0.1786120819666205,0.1342760975507476,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_length_bin_random_forest_classification_results.csv
attr_decking_material,both,Timber,2935,1774,1856,1774,768,0.9295669403528736,0.9453139174027214,0.015746977049847843,0.8956823679984922,0.927029754695518,0.03134738669702575,0.2120179581816583,0.3300714912846145,0.11805353310295619,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_decking_material_random_forest_classification_results.csv
width_bin,both,standard (0.9-1.5m),2755,1630,1734,1630,768,0.5564906741381007,0.6509202453987729,0.0944295712606722,0.3983555052787466,0.5766022215662356,0.17824671628748906,0.1139407386755067,0.2313045300328529,0.11736379135734619,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_width_bin_random_forest_classification_results.csv
attr_abutment_material,both,Timber,1134,573,576,573,768,0.6064128162689073,0.708558352402746,0.1021455361338387,0.4590212952337399,0.6244350291282286,0.16541373389448866,0.1651396755419639,0.2759355238397111,0.11079584829774719,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_abutment_material_random_forest_classification_results.csv
attr_has_edge_guard,both,No,2587,1616,1721,1616,768,0.8971785546253631,0.9201697053090244,0.02299115068366131,0.8485542911099546,0.8955307534337702,0.04697646232381558,0.4729014090703858,0.5499663808784874,0.07706497180810157,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_edge_guard_random_forest_classification_results.csv
attr_bridge_type,both,Beam,1166,612,614,612,768,0.8447709181614762,0.8546048247367718,0.009833906575295592,0.7736879540588827,0.7969331992577484,0.023245245198865727,0.1831707764528139,0.2489086917362815,0.06573791528346759,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_bridge_type_random_forest_classification_results.csv
