attribute,_merge,prediction,n_labels_baseline,n_labels_dinov3,n_assets_baseline,n_assets_dinov3,n_features,accuracy_mean_baseline,accuracy_mean_dinov3,accuracy_mean_delta,weighted_f1_mean_baseline,weighted_f1_mean_dinov3,weighted_f1_mean_delta,macro_f1_mean_baseline,macro_f1_mean_dinov3,macro_f1_mean_delta,feature_file,dinov3_result_file
attr_structure_position,both,At-Grade,1038,594,613,594,768,0.5944119286510591,0.8905569007263923,0.2961449720753332,0.4432063750137226,0.8890138392426572,0.4458074642289346,0.2485391607627985,0.7665992866266392,0.5180601258638408,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_position_classification_results.csv
fall_height_bin,both,medium (1.2-5m),239,122,122,122,768,0.3498199871783664,0.6303333333333333,0.2805133461549669,0.1838546149253225,0.6094196370880581,0.4255650221627356,0.0929483535560286,0.5214662764136448,0.42851792285761625,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_fall_height_bin_classification_results.csv
attr_material_frame_tank_body,both,Timber/Wood,1416,785,804,785,768,0.6066152323831807,0.7681528662420382,0.16153763385885744,0.4590812881472588,0.7668777408240367,0.3077964526767779,0.0964020937606756,0.4701309071423165,0.3737288133816409,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_material_frame_tank_body_classification_results.csv
attr_has_pedestrian_railing,both,No railings,3601,2355,2480,2355,768,0.8622607489597781,0.91380042462845,0.0515396756686719,0.7984850302613479,0.9178152822199004,0.11933025195855251,0.308678822552736,0.6817352054770981,0.3730563829243621,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_pedestrian_railing_classification_results.csv
attr_structure_material,both,Timber,2739,1674,1758,1674,768,0.8425086592108524,0.9092018947180266,0.06669323550717421,0.7708748435733019,0.911633199345043,0.14075835577174112,0.2348029946572694,0.5689601870718621,0.33415719241459274,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_structure_material_classification_results.csv
width_bin,both,standard (0.9-1.5m),2755,1630,1734,1630,768,0.5564906741381007,0.6276073619631901,0.0711166878250894,0.3983555052787466,0.6282203662040838,0.22986486092533726,0.1139407386755067,0.3868055848960255,0.2728648462205188,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_width_bin_classification_results.csv
attr_bridge_type,both,Beam,1166,612,614,612,768,0.8447709181614762,0.8496601359456216,0.0048892177841454165,0.7736879540588827,0.8478928108404045,0.07420485678152178,0.1831707764528139,0.4543359862456565,0.27116520979284264,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_bridge_type_classification_results.csv
attr_abutment_material,both,Timber,1134,573,576,573,768,0.6064128162689073,0.7086193745232647,0.10220655825435743,0.4590212952337399,0.7144328229154866,0.2554115276817467,0.1651396755419639,0.4177028811446723,0.2525632056027084,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_abutment_material_classification_results.csv
attr_has_edge_guard,both,No,2587,1616,1721,1616,768,0.8971785546253631,0.9077858043802316,0.010607249754868486,0.8485542911099546,0.911791982521508,0.06323769141155333,0.4729014090703858,0.7037730809320959,0.2308716718617101,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_has_edge_guard_classification_results.csv
length_bin,both,short (<20m),2639,1599,1744,1599,768,0.3262960428283465,0.4853134796238244,0.15901743679547786,0.1608916924959434,0.4867481764913958,0.3258564839954524,0.0443359844158729,0.261800376491797,0.2174643920759241,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_length_bin_classification_results.csv
attr_decking_material,both,Timber,2935,1774,1856,1774,768,0.9295669403528736,0.9588509588605076,0.02928401850763407,0.8956823679984922,0.9572145454041364,0.061532177405644206,0.2120179581816583,0.4029834924692402,0.1909655342875819,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_attr_decking_material_classification_results.csv
steps_bin,both,few (<10),52,29,29,29,768,0.4396367521367521,0.4466666666666666,0.007029914529914527,0.2892515455558934,0.4438730158730158,0.15462147031712242,0.2365729761381935,0.4193650793650793,0.18279210322688577,data/features/dinov3_vitb16_remaining_attributes_assets.csv,results/dinov3_steps_bin_classification_results.csv
