attribute,_merge,prediction,n_labels_baseline,n_labels_siglip,n_assets_baseline,n_assets_siglip,n_features,accuracy_mean_baseline,accuracy_mean_siglip,accuracy_mean_delta,weighted_f1_mean_baseline,weighted_f1_mean_siglip,weighted_f1_mean_delta,macro_f1_mean_baseline,macro_f1_mean_siglip,macro_f1_mean_delta,feature_file,siglip_result_file
attr_structure_position,both,At-Grade,1038,594,613,594,768,0.5944119286510591,0.8854151830223616,0.2910032543713025,0.4432063750137226,0.8850966605473405,0.44189028553361787,0.2485391607627985,0.803820417080777,0.5552812563179785,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_structure_position_classification_results.csv
attr_has_pedestrian_railing,both,No railings,3601,2355,2480,2355,768,0.8622607489597781,0.9087048832271762,0.04644413426739813,0.7984850302613479,0.9124683247894652,0.11398329452811728,0.308678822552736,0.6540151160190966,0.3453362934663606,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_has_pedestrian_railing_classification_results.csv
attr_material_frame_tank_body,both,Timber/Wood,1416,785,804,785,768,0.6066152323831807,0.7630573248407643,0.15644209245758356,0.4590812881472588,0.7598566092938409,0.3007753211465821,0.0964020937606756,0.4261234567542915,0.3297213629936159,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_material_frame_tank_body_classification_results.csv
fall_height_bin,both,medium (1.2-5m),239,122,122,122,768,0.3498199871783664,0.5163333333333334,0.16651334615496705,0.1838546149253225,0.5068121992386698,0.3229575843133473,0.0929483535560286,0.4166181344332605,0.3236697808772319,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_fall_height_bin_classification_results.csv
attr_structure_material,both,Timber,2739,1674,1758,1674,768,0.8425086592108524,0.8972615962105639,0.05475293699971151,0.7708748435733019,0.9018706411488596,0.13099579757555768,0.2348029946572694,0.5135741453975575,0.27877115074028813,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_structure_material_classification_results.csv
attr_decking_material,both,Timber,2935,1774,1856,1774,768,0.9295669403528736,0.9537646216280736,0.024197681275200056,0.8956823679984922,0.9520517123133252,0.05636934431483298,0.2120179581816583,0.4653138792475007,0.25329592106584237,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_decking_material_classification_results.csv
attr_bridge_type,both,Beam,1166,612,614,612,768,0.8447709181614762,0.8464880714380915,0.0017171532766152575,0.7736879540588827,0.8445766803939776,0.07088872633509491,0.1831707764528139,0.4358410211928486,0.25267024474003474,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_bridge_type_classification_results.csv
width_bin,both,standard (0.9-1.5m),2755,1630,1734,1630,768,0.5564906741381007,0.6226993865030674,0.06620871236496673,0.3983555052787466,0.6263377494945248,0.22798224421577823,0.1139407386755067,0.356182987005256,0.24224224832974933,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_width_bin_classification_results.csv
attr_abutment_material,both,Timber,1134,573,576,573,768,0.6064128162689073,0.6806407322654462,0.07422791599653888,0.4590212952337399,0.6836457681306715,0.22462447289693155,0.1651396755419639,0.3796760506642102,0.21453637512224627,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_abutment_material_classification_results.csv
length_bin,both,short (<20m),2639,1599,1744,1599,768,0.3262960428283465,0.4684012539184953,0.1421052110901488,0.1608916924959434,0.4770065894193049,0.3161148969233615,0.0443359844158729,0.2582031195173491,0.2138671351014762,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_length_bin_classification_results.csv
steps_bin,both,few (<10),52,29,29,29,768,0.4396367521367521,0.5133333333333333,0.07369658119658123,0.2892515455558934,0.47,0.1807484544441066,0.2365729761381935,0.3977777777777778,0.16120480163958428,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_steps_bin_classification_results.csv
attr_has_edge_guard,both,No,2587,1616,1721,1616,768,0.8971785546253631,0.8830371134808699,-0.014141441144493228,0.8485542911099546,0.8893678303847368,0.04081353927478215,0.4729014090703858,0.6327449510647376,0.1598435419943518,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,results/siglip_attr_has_edge_guard_classification_results.csv
