asset_id,timestamp,model,response,length_bin_value,length_bin_confidence,parse_error
47664,2026-05-20T02:43:31.863369,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""medium (20-100m)"", ""confidence"": 0.85}
}",medium (20-100m),0.85,
46935,2026-05-20T02:43:35.254449,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.95}
}",short (<20m),0.95,
48119,2026-05-20T02:43:40.266387,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.95}
}",short (<20m),0.95,
48121,2026-05-20T02:43:41.969751,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.9}
}",short (<20m),0.9,
48637,2026-05-20T02:43:43.541790,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.9}
}",short (<20m),0.9,
48934,2026-05-20T02:43:46.519102,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.85}
}",short (<20m),0.85,
48634,2026-05-20T02:43:48.248328,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.95}
}",short (<20m),0.95,
48936,2026-05-20T02:43:57.362973,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.95}
}",short (<20m),0.95,
51255,2026-05-20T02:44:09.755648,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""medium (20-100m)"", ""confidence"": 0.85}
}",medium (20-100m),0.85,
51547,2026-05-20T02:44:15.207795,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.95}
}",short (<20m),0.95,
51603,2026-05-20T02:44:17.185712,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.9}
}",short (<20m),0.9,
51942,2026-05-20T02:44:18.363041,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.95}
}",short (<20m),0.95,
52469,2026-05-20T02:44:20.226684,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""medium (20-100m)"", ""confidence"": 0.85}
}",medium (20-100m),0.85,
52245,2026-05-20T02:44:22.110086,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.85}
}",short (<20m),0.85,
53556,2026-05-20T02:44:23.630514,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 1.0}
}",short (<20m),1.0,
55645,2026-05-20T02:44:23.893880,gemini-3.1-flash-lite,,,,True
56209,2026-05-20T02:44:24.418074,gemini-3.1-flash-lite,,,,True
56345,2026-05-20T02:44:25.303713,gemini-3.1-flash-lite,,,,True
56778,2026-05-20T02:44:25.603433,gemini-3.1-flash-lite,,,,True
58173,2026-05-20T02:44:39.540127,gemini-3.1-flash-lite,"{
    ""length_bin"": {""value"": ""short (<20m)"", ""confidence"": 0.95}
}",short (<20m),0.95,
