asset_id,timestamp,model,response,has_pedestrian_railing_value,has_pedestrian_railing_confidence,parse_error
47049,2026-05-20T20:07:08.950909,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
47050,2026-05-20T20:07:27.333939,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47053,2026-05-20T20:07:45.701319,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47054,2026-05-20T20:08:03.508560,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47184,2026-05-20T20:08:22.144213,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",2 railings,1.0,
48269,2026-05-20T20:08:40.783272,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48347,2026-05-20T20:08:59.318098,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48394,2026-05-20T20:09:17.854261,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48395,2026-05-20T20:09:51.333006,gemini-3-flash-preview,,,,True
48799,2026-05-20T20:09:55.225626,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
48937,2026-05-20T20:10:12.841964,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
49501,2026-05-20T20:10:30.861084,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
49525,2026-05-20T20:10:50.321294,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
49702,2026-05-20T20:11:27.914557,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",2 railings,1.0,
49703,2026-05-20T20:11:47.067017,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
49704,2026-05-20T20:12:06.094703,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
49705,2026-05-20T20:12:26.063809,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
49707,2026-05-20T20:12:45.314034,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
49710,2026-05-20T20:13:04.765715,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.95
    }
}",1 railing,0.95,
49711,2026-05-20T20:13:26.581233,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
