asset_id,timestamp,model,response,fall_height_bin_value,fall_height_bin_confidence,has_pedestrian_railing_value,has_pedestrian_railing_confidence,material_frame_tank_body_value,material_frame_tank_body_confidence,steps_bin_value,steps_bin_confidence,structure_position_value,structure_position_confidence,parse_error
46496,2026-05-20T14:07:14.707109,gemma-4-26b-a4b-it,"{
    ""fall_height"": {
        ""value"": ""high (>1.2m)"",
        ""confidence"": 0.8
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Rock/Stone"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""medium (10-20)"",
        ""confidence"": 0.9
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.8
    }
}",high (>1.2m),0.8,No railings,1.0,Rock/Stone,1.0,medium (10-20),0.9,At-Grade,0.8,False
47049,2026-05-20T13:58:57.919162,gemma-4-26b-a4b-it,,,,,,,,,,,,True
47050,2026-05-20T14:09:02.978472,gemma-4-26b-a4b-it,,,,,,,,,,,,True
47053,2026-05-20T14:09:05.740167,gemma-4-26b-a4b-it,,,,,,,,,,,,True
47054,2026-05-20T14:10:02.314727,gemma-4-26b-a4b-it,"{
""fall_height"": {
""value"": ""low (<0.5m)"",
""confidence"": 1.0
},
""has_pedestrian_railing"": {
""value"": ""No railings"",
""confidence"": 1.0
},
""material_frame_tank_body"": {
""value"": ""Timber/Wood"",
""confidence"": 1.0
},
""number_of_steps"": {
""value"": ""few (<10)"",
""confidence"": 1.0
},
""structure_position"": {
""value"": ""At-Grade"",
""confidence"": 0.9
}
}",low (<0.5m),1.0,No railings,1.0,Timber/Wood,1.0,few (<10),1.0,At-Grade,0.9,False
47184,2026-05-20T14:10:47.283628,gemma-4-26b-a4b-it,"{
    ""fall_height"": {
        ""value"": ""high (>1.2m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""many (>20)"",
        ""confidence"": 0.9
    },
    ""structure_position"": {
        ""value"": ""Other"",
        ""confidence"": 0.8
    }
}",high (>1.2m),0.9,2 railings,1.0,Timber/Wood,1.0,many (>20),0.9,Other,0.8,False
48269,2026-05-20T14:11:13.220347,gemma-4-26b-a4b-it,"{
    ""fall_height"": {
        ""value"": ""low (<0.5m)"",
        ""confidence"": 0.95
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.98
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.98
    },
    ""number_of_steps"": {
        ""value"": ""few (<10)"",
        ""confidence"": 0.98
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",low (<0.5m),0.95,No railings,0.98,Timber/Wood,0.98,few (<10),0.98,At-Grade,0.95,False
48347,2026-05-20T14:12:15.678938,gemma-4-26b-a4b-it,"{
""fall_height"": {
""value"": ""high (>1.2m)"",
""confidence"": 0.8
},
""has_pedestrian_railing"": {
""value"": ""No railings"",
""confidence"": 1.0
},
""material_frame_tank_body"": {
""value"": ""Timber/Wood"",
""confidence"": 1.0
},
""number_of_steps"": {
""value"": ""medium (10-20)"",
""confidence"": 0.9
},
""structure_position"": {
""value"": ""At-Grade"",
""confidence"": 0.9
}
}",high (>1.2m),0.8,No railings,1.0,Timber/Wood,1.0,medium (10-20),0.9,At-Grade,0.9,False
48394,2026-05-20T14:12:46.187628,gemma-4-26b-a4b-it,"{
    ""fall_height"": {
        ""value"": ""low (<0.5m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""few (<10)"",
        ""confidence"": 1.0
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",low (<0.5m),0.9,No railings,1.0,Concrete,1.0,few (<10),1.0,At-Grade,0.9,False
48395,2026-05-20T14:13:28.030623,gemma-4-26b-a4b-it,"{
    ""fall_height"": {
        ""value"": ""medium (0.5-1.2m)"",
        ""confidence"": 0.7
    },
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    },
    ""number_of_steps"": {
        ""value"": ""few (<10)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.7
    }
}",,0.7,1 railing,1.0,Concrete,0.9,few (<10),0.8,At-Grade,0.7,False
