asset_id,timestamp,model,response,structure_position_value,structure_position_confidence,parse_error
47049,2026-05-20T12:15:50.358742,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}
```",At-Grade,0.9,
47050,2026-05-20T12:16:23.234696,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}
```",At-Grade,0.9,
47053,2026-05-20T12:17:06.610023,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}
```",At-Grade,0.95,
47054,2026-05-20T12:17:41.283174,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,
47184,2026-05-20T12:18:51.667083,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.8
    }
}
```",At-Grade,0.8,
48269,2026-05-20T12:18:58.835978,gemma-4-26b-a4b-it,,,,True
48347,2026-05-20T12:19:01.176322,gemma-4-26b-a4b-it,,,,True
48394,2026-05-20T12:19:33.440117,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,
48395,2026-05-20T12:19:40.697621,gemma-4-26b-a4b-it,,,,True
48799,2026-05-20T12:20:10.632214,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}
```",At-Grade,0.9,
48937,2026-05-20T12:20:35.289700,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,
49501,2026-05-20T12:21:04.266995,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,
49525,2026-05-20T12:21:44.210104,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,
49702,2026-05-20T12:22:36.456995,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}
```",At-Grade,0.9,
49703,2026-05-20T12:23:19.763036,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}
```",At-Grade,0.95,
49704,2026-05-20T12:23:55.188961,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,
49705,2026-05-20T12:24:24.868600,gemma-4-26b-a4b-it,"{""structure_position"": {""value"": ""At-Grade"", ""confidence"": 0.9}}",At-Grade,0.9,
49707,2026-05-20T12:25:31.463849,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.85
    }
}
```",At-Grade,0.85,
49710,2026-05-20T12:26:19.777176,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,
49711,2026-05-20T12:26:57.869197,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}
```",At-Grade,0.95,
50514,2026-05-20T12:27:32.164338,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,
50723,2026-05-20T12:28:08.837286,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}
```",Elevated,0.95,
50805,2026-05-20T12:28:43.539031,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,
51270,2026-05-20T12:29:20.874254,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,
51458,2026-05-20T12:29:28.288453,gemma-4-26b-a4b-it,,,,True
51536,2026-05-20T12:29:30.434512,gemma-4-26b-a4b-it,,,,True
51537,2026-05-20T12:29:32.997168,gemma-4-26b-a4b-it,,,,True
51695,2026-05-20T12:29:33.811599,gemma-4-26b-a4b-it,,,,True
51804,2026-05-20T12:30:21.546210,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}
```",At-Grade,0.9,
52162,2026-05-20T12:31:02.606482,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,
52248,2026-05-20T12:31:33.120551,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,
52622,2026-05-20T12:32:09.979689,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",Elevated,0.9,
52952,2026-05-20T12:32:41.436150,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,
53110,2026-05-20T12:33:31.498106,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,
53111,2026-05-20T12:34:02.021838,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,
53212,2026-05-20T12:34:39.695461,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}
```",At-Grade,0.95,
53214,2026-05-20T12:35:26.905519,gemma-4-26b-a4b-it,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,
53221,2026-05-20T12:36:46.164033,gemma-4-26b-a4b-it,"```json
{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.85
    }
}
```",Elevated,0.85,
