asset_id,timestamp,model,response,abutment_material_value,abutment_material_confidence,bridge_type_value,bridge_type_confidence,decking_material_value,decking_material_confidence,fall_height_bin_value,fall_height_bin_confidence,has_pedestrian_railing_value,has_pedestrian_railing_confidence,length_bin_value,length_bin_confidence,width_bin_value,width_bin_confidence,structure_position_value,structure_position_confidence,parse_error
46926,2026-05-22T09:21:21.093475,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    },
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    },
    ""length"": {
        ""value"": ""short (<6m)"",
        ""confidence"": 0.9
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",unable to determine,0.0,Beam,0.95,Timber,1.0,low (<1.2m),0.9,No railings,1.0,short (<6m),0.9,standard (0.9-1.5m),0.8,Elevated,0.9,False
47182,2026-05-21T15:47:55.832417,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.7
    },
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.9
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.8
    },
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    },
    ""length"": {
        ""value"": ""short (<6m)"",
        ""confidence"": 0.7
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}
```",Timber,0.7,Beam,0.9,Timber,0.95,low (<1.2m),0.8,2 railings,1.0,short (<6m),0.7,standard (0.9-1.5m),0.8,Elevated,0.9,False
47389,2026-05-21T15:48:56.494707,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    },
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.8
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.8
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.7
    },
    ""length"": {
        ""value"": ""medium (6-20m)"",
        ""confidence"": 0.6
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",unable to determine,0.0,Beam,0.8,Timber,0.95,low (<1.2m),0.8,No railings,0.7,medium (6-20m),0.6,standard (0.9-1.5m),0.8,Elevated,0.9,False
47533,2026-05-21T15:50:46.553285,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.4
    },
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    },
    ""length"": {
        ""value"": ""short (<6m)"",
        ""confidence"": 0.7
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Timber,0.4,Beam,0.95,Timber,1.0,low (<1.2m),0.9,2 railings,1.0,short (<6m),0.7,standard (0.9-1.5m),0.8,Elevated,1.0,False
47637,2026-05-21T15:52:03.039247,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    },
    ""bridge_type"": {
        ""value"": ""Fallen Tree"",
        ""confidence"": 1.0
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.85
    },
    ""length"": {
        ""value"": ""medium (6-20m)"",
        ""confidence"": 0.7
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",Timber,0.8,Fallen Tree,1.0,Timber,1.0,low (<1.2m),0.9,1 railing,0.85,medium (6-20m),0.7,standard (0.9-1.5m),0.8,Elevated,0.9,False
48111,2026-05-22T09:21:52.939038,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.7
    },
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 0.9
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.8
    },
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    },
    ""length"": {
        ""value"": ""short (<6m)"",
        ""confidence"": 0.7
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}
```",Timber,0.7,Truss,0.9,Timber,1.0,low (<1.2m),0.8,2 railings,1.0,short (<6m),0.7,standard (0.9-1.5m),0.8,Elevated,0.9,False
48112,2026-05-22T09:22:31.037725,gemma-4-26b-a4b-it,"{
""abutment_material"": {
""value"": ""unable to determine"",
""confidence"": 0.0
},
""bridge_type"": {
""value"": ""Beam"",
""confidence"": 0.7
},
""decking_material"": {
""value"": ""Timber"",
""confidence"": 1.0
},
""fall_height"": {
""value"": ""low (<1.2m)"",
""confidence"": 0.9
},
""has_pedestrian_railing"": {
""value"": ""1 railing"",
""confidence"": 1.0
},
""length"": {
""value"": ""medium (6-20m)"",
""confidence"": 0.5
},
""width"": {
""value"": ""standard (0.9-1.5m)"",
""confidence"": 0.8
},
""structure_position"": {
""value"": ""Elevated"",
""confidence"": 0.8
}
}",unable to determine,0.0,Beam,0.7,Timber,1.0,low (<1.2m),0.9,1 railing,1.0,medium (6-20m),0.5,standard (0.9-1.5m),0.8,Elevated,0.8,False
48296,2026-05-21T15:53:33.502804,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    },
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.6
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    },
    ""fall_height"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    },
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    },
    ""length"": {
        ""value"": ""medium (6-20m)"",
        ""confidence"": 0.7
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.7
    }
}",unable to determine,0.0,Beam,0.6,Timber,1.0,unable to determine,0.0,2 railings,1.0,medium (6-20m),0.7,standard (0.9-1.5m),0.8,Elevated,0.7,False
48340,2026-05-21T15:54:44.716963,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    },
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 1.0
    },
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.8
    },
    ""length"": {
        ""value"": ""short (<6m)"",
        ""confidence"": 0.9
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",unable to determine,0.0,Beam,1.0,Timber,1.0,low (<1.2m),1.0,2 railings,0.8,short (<6m),0.9,standard (0.9-1.5m),0.8,Elevated,0.9,False
48344,2026-05-21T15:55:56.925128,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    },
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    },
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    },
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.85
    },
    ""length"": {
        ""value"": ""short (<6m)"",
        ""confidence"": 0.85
    },
    ""width"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.85
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",unable to determine,0.0,Beam,0.95,Timber,0.95,low (<1.2m),0.9,No railings,0.85,short (<6m),0.85,standard (0.9-1.5m),0.85,Elevated,0.95,False
